tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_04050	CDS	complement(840537..841259)	hypothetical protein
tpy:CQ11_04055	CDS	complement(841259..842545)	pyrimidine-nucleoside phosphorylase
tpy:CQ11_04060	CDS	complement(842561..842998)	cytidine deaminase
tpy:CQ11_04065	CDS	complement(842998..844314)	ABC transporter permease
tpy:CQ11_04070	CDS	complement(844317..845633)	ABC transporter permease
tpy:CQ11_04075	CDS	complement(845633..847177)	heme ABC transporter ATP-binding protein
tpy:CQ11_04080	CDS	complement(847262..848353)	membrane protein
tpy:CQ11_04085	gene	complement(848524..849684)	pseudogene
tpy:CQ11_04090	CDS	complement(849591..850862)	ribonuclease BN
tpy:CQ11_04095	CDS	complement(850871..851707)	exodeoxyribonuclease III
tpy:CQ11_04100	CDS	complement(851775..852641)	methenyltetrahydrofolate cyclohydrolase
tpy:CQ11_04105	CDS	complement(852638..853924)	serine hydroxymethyltransferase
tpy:CQ11_04110	CDS	complement(854241..855089)	purU; formyltetrahydrofolate deformylase
tpy:CQ11_04115	CDS	complement(855159..855737)	biotin biosynthesis protein BioY
tpy:CQ11_04120	CDS	complement(855734..856159)	4'-phosphopantetheinyl transferase
tpy:CQ11_04125	CDS	complement(856152..865214)	ACP S-malonyltransferase
tpy:CQ11_04130	CDS	complement(865246..866838)	methylmalonyl-CoA carboxyltransferase
tpy:CQ11_04135	CDS	complement(866842..868620)	carboxylate--amine ligase
tpy:CQ11_04140	CDS	complement(868617..869441)	biotin--acetyl-CoA-carboxylase ligase
tpy:CQ11_04155	CDS	complement(873137..873430)	ferredoxin
tpy:CQ11_04160	CDS	complement(873432..874724)	oxidoreductase
tpy:CQ11_04165	CDS	complement(874727..875569)	electron transfer flavoprotein subunit beta
tpy:CQ11_04170	CDS	complement(875582..876343)	electron transfer flavoprotein subunit alpha
tpy:CQ11_04175	CDS	876481..877149	TetR family transcriptional regulator
tpy:CQ11_04180	CDS	complement(877126..877740)	metallo-beta-lactamase
tpy:CQ11_04185	CDS	complement(877740..879065)	metabolite transporter
tpy:CQ11_04190	CDS	complement(879108..879986)	3-alpha,7-alpha, 12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase
tpy:CQ11_04195	CDS	complement(880008..881531)	CoA ligase
tpy:CQ11_04200	CDS	complement(881565..882773)	crotonobetainyl-CoA:carnitine CoA-transferase
tpy:CQ11_04205	CDS	complement(882793..883926)	crotonobetainyl-CoA:carnitine CoA-transferase
tpy:CQ11_04210	CDS	complement(883907..884908)	acetyl esterase
tpy:CQ11_04215	CDS	complement(884922..886295)	MFS transporter
tpy:CQ11_04220	gene	complement(886595..887174)	pseudogene
tpy:CQ11_04225	CDS	887332..888534	membrane protein
tpy:CQ11_04230	CDS	complement(888610..889602)	malate dehydrogenase
tpy:CQ11_04235	CDS	complement(890102..891364)	hypothetical protein
tpy:CQ11_04240	CDS	891363..891554	hypothetical protein
tpy:CQ11_04245	CDS	complement(891560..893212)	glucose-6-phosphate isomerase
tpy:CQ11_04250	CDS	893310..895580	6-phosphofructokinase
tpy:CQ11_04255	CDS	complement(895599..895880)	hypothetical protein
tpy:CQ11_04260	CDS	complement(896075..897598)	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase
tpy:CQ11_04265	CDS	complement(897640..898911)	hypothetical protein
tpy:CQ11_04270	CDS	complement(898975..899322)	GCN5 family acetyltransferase
tpy:CQ11_04275	CDS	complement(899422..900339)	succinyl-CoA synthetase subunit alpha
tpy:CQ11_04280	CDS	complement(900342..901517)	succinyl-CoA synthetase subunit beta
tpy:CQ11_04285	CDS	complement(901644..903620)	hypothetical protein
tpy:CQ11_04290	CDS	complement(903617..906223)	ATP-dependent DNA helicase PcrA
tpy:CQ11_04295	gene	complement(906371..906902)	pseudogene
tpy:CQ11_04300	CDS	complement(906899..907117)	prevent-host-death protein
tpy:CQ11_04310	CDS	908470..908802	hypothetical protein
tpy:CQ11_04315	CDS	complement(909347..911266)	tetracycline resistance protein tetM
tpy:CQ11_04320	CDS	complement(911774..913117)	recombinase
tpy:CQ11_04325	CDS	complement(913628..914782)	hypothetical protein
tpy:CQ11_04330	CDS	complement(914790..915110)	hypothetical protein
tpy:CQ11_04335	CDS	complement(915114..916190)	integrase
tpy:CQ11_04340	CDS	complement(916177..916383)	hypothetical protein
tpy:CQ11_04345	CDS	916519..916932	XRE family transcriptional regulator
tpy:CQ11_04350	CDS	complement(917437..919002)	guaA; GMP synthase
tpy:CQ11_04355	CDS	complement(919012..920043)	pseudouridylate synthase
tpy:CQ11_04360	CDS	920184..921815	phosphate acetyltransferase
tpy:CQ11_04365	CDS	921852..923024	acetate kinase
tpy:CQ11_04370	CDS	923128..923547	GNAT family acetyltransferase
tpy:CQ11_04375	CDS	complement(923564..925687)	hypothetical protein
tpy:CQ11_04380	CDS	complement(925744..926403)	macrolide ABC transporter ATP-binding protein
tpy:CQ11_04385	CDS	complement(926379..926933)	PadR family transcriptional regulator
tpy:CQ11_04390	CDS	complement(927154..928542)	aspA; aspartate ammonia-lyase
tpy:CQ11_04395	CDS	complement(928626..929738)	inosine-5-monophosphate dehydrogenase
tpy:CQ11_04400	CDS	929825..930547	DNA polymerase III subunit epsilon
tpy:CQ11_04405	CDS	complement(930697..932199)	inosine-5-monophosphate dehydrogenase
tpy:CQ11_04410	CDS	932401..932697	WhiB family transcriptional regulator
tpy:CQ11_04415	CDS	complement(932838..933083)	transposase
tpy:CQ11_04420	CDS	complement(933177..936926)	phosphoribosylformylglycinamidine synthase
tpy:CQ11_04425	CDS	complement(936935..938197)	phosphoribosylamine--glycine ligase
tpy:CQ11_04430	CDS	complement(938194..938772)	phosphoribosylglycinamide formyltransferase
tpy:CQ11_04435	CDS	complement(938769..939818)	phosphoribosylaminoimidazole synthetase
tpy:CQ11_04440	CDS	complement(939832..941313)	amidophosphoribosyltransferase
tpy:CQ11_04445	CDS	complement(941346..942053)	phosphoribosylaminoimidazole-succinocarboxamide synthase
tpy:CQ11_04450	CDS	complement(942138..942629)	N5-carboxyaminoimidazole ribonucleotide mutase
tpy:CQ11_04455	CDS	complement(942768..943229)	hypothetical protein
tpy:CQ11_04460	CDS	complement(943579..943875)	molecular chaperone GroES
tpy:CQ11_04465	CDS	944044..945258	SAM-dependent methyltransferase
tpy:CQ11_04470	CDS	945251..946072	zinc transporter ZupT
tpy:CQ11_04475	CDS	complement(946069..947112)	O-sialoglycoprotein endopeptidase
tpy:CQ11_04480	CDS	947292..948839	SNF family Na(+)-dependent transporter
tpy:CQ11_04490	CDS	complement(949008..949751)	succinate dehydrogenase
tpy:CQ11_04495	CDS	complement(949748..951718)	sdhA; succinate dehydrogenase
tpy:CQ11_04500	CDS	complement(951731..952456)	succinate dehydrogenase
tpy:CQ11_04505	CDS	complement(952683..953066)	acetyltransferase
tpy:CQ11_04510	gene	complement(952933..953823)	pseudogene
tpy:CQ11_04515	CDS	complement(953798..954670)	hypothetical protein
tpy:CQ11_04520	CDS	complement(954673..955212)	ATPase
tpy:CQ11_04525	CDS	complement(955228..956328)	alanine racemase
tpy:CQ11_04530	CDS	complement(956321..957802)	dehydrogenase
tpy:CQ11_04535	CDS	complement(957908..959755)	glutamine amidotransferase
tpy:CQ11_04540	CDS	959892..960827	pantothenate kinase
tpy:CQ11_04545	CDS	complement(960874..962202)	phosphoglucosamine mutase
tpy:CQ11_04550	CDS	complement(962719..963204)	30S ribosomal protein S9
tpy:CQ11_04555	CDS	complement(963238..963678)	50S ribosomal protein L13
tpy:CQ11_04560	CDS	963958..964794	DNA-directed RNA polymerase subunit delta
tpy:CQ11_04565	CDS	964838..965395	hypothetical protein
tpy:CQ11_04570	CDS	965400..967145	heme ABC transporter ATP-binding protein
tpy:CQ11_04575	CDS	967138..967968	membrane protein
tpy:CQ11_04580	CDS	complement(968005..968940)	LysR family transcriptional regulator
tpy:CQ11_04585	CDS	969013..969402	hypothetical protein
tpy:CQ11_04595	gene	complement(969957..970832)	pseudogene
tpy:CQ11_04600	CDS	970873..971643	ROK family transcriptional regulator
tpy:CQ11_04605	CDS	971770..972672	ABC transporter substrate-binding protein
tpy:CQ11_04610	CDS	972699..973679	ABC transporter permease
tpy:CQ11_04615	CDS	973700..974470	arginine ABC transporter ATP-binding protein
tpy:CQ11_04620	CDS	974528..975304	MerR family transcriptional regulator
tpy:CQ11_04625	CDS	complement(975367..976395)	membrane protein
tpy:CQ11_04630	CDS	complement(976537..977046)	50S ribosomal protein L17
tpy:CQ11_04635	CDS	complement(977140..978138)	DNA-directed RNA polymerase subunit alpha
tpy:CQ11_04640	CDS	complement(978276..978668)	30S ribosomal protein S11
tpy:CQ11_04645	CDS	complement(978691..979059)	30S ribosomal protein S13
tpy:CQ11_04650	CDS	complement(979201..979314)	rpmJ; 50S ribosomal protein L36
tpy:CQ11_04655	CDS	complement(979355..979576)	translation initiation factor IF-1
tpy:CQ11_04660	CDS	complement(979725..980555)	methionine aminopeptidase
tpy:CQ11_04665	CDS	complement(980552..981145)	adenylate kinase
tpy:CQ11_04670	CDS	complement(981142..982428)	preprotein translocase subunit SecY
tpy:CQ11_04675	CDS	complement(983235..983672)	50S ribosomal protein L15
tpy:CQ11_04680	CDS	complement(983702..983881)	50S ribosomal protein L30
tpy:CQ11_04685	CDS	complement(983878..984570)	30S ribosomal protein S5
tpy:CQ11_04690	CDS	complement(984593..984949)	50S ribosomal protein L18
tpy:CQ11_04695	CDS	complement(984949..985485)	50S ribosomal protein L6
tpy:CQ11_04700	CDS	complement(985500..985898)	30S ribosomal protein S8
tpy:CQ11_04705	CDS	complement(985951..986136)	rpsN; 30S ribosomal protein S14
tpy:CQ11_04710	CDS	complement(986136..986684)	50S ribosomal protein L5
tpy:CQ11_04715	CDS	complement(986681..987019)	50S ribosomal protein L24
tpy:CQ11_04720	CDS	complement(987021..987389)	50S ribosomal protein L14
tpy:CQ11_04725	CDS	complement(987475..987756)	30S ribosomal protein S17
tpy:CQ11_04730	CDS	complement(987767..988003)	50S ribosomal protein L29
tpy:CQ11_04735	CDS	complement(988000..988416)	50S ribosomal protein L16
tpy:CQ11_04740	CDS	complement(988422..989246)	30S ribosomal protein S3
tpy:CQ11_04745	CDS	complement(989249..989602)	50S ribosomal protein L22
tpy:CQ11_04750	CDS	complement(989621..989902)	30S ribosomal protein S19
tpy:CQ11_04755	CDS	complement(989915..990754)	50S ribosomal protein L2
tpy:CQ11_04760	CDS	complement(990787..991098)	50S ribosomal protein L23
tpy:CQ11_04765	CDS	complement(991095..991736)	50S ribosomal protein L4
tpy:CQ11_04770	CDS	complement(991739..992401)	50S ribosomal protein L3
tpy:CQ11_04775	CDS	complement(992413..992721)	30S ribosomal protein S10
tpy:CQ11_04780	CDS	complement(993058..993726)	hydrolase
tpy:CQ11_04785	CDS	complement(993750..995603)	phosphoenolpyruvate carboxykinase
tpy:CQ11_04790	CDS	complement(995765..996955)	elongation factor Tu
tpy:CQ11_04795	CDS	complement(997066..999186)	fusA; elongation factor G
tpy:CQ11_04800	CDS	complement(999228..999698)	30S ribosomal protein S7
tpy:CQ11_04805	CDS	complement(999698..1000072)	30S ribosomal protein S12
tpy:CQ11_04810	CDS	1000628..1002079	gamma-aminobutyrate permease
tpy:CQ11_04815	CDS	complement(1002711..1006685)	DNA-directed RNA polymerase subunit beta'
tpy:CQ11_04820	CDS	complement(1006771..1010235)	DNA-directed RNA polymerase subunit beta
tpy:CQ11_04825	CDS	complement(1010687..1011073)	50S ribosomal protein L7
tpy:CQ11_04830	CDS	complement(1011149..1011670)	50S ribosomal protein L10
tpy:CQ11_04835	CDS	complement(1011883..1012515)	uridine kinase
tpy:CQ11_04845	CDS	complement(1012892..1013599)	50S ribosomal protein L1
tpy:CQ11_04850	CDS	complement(1013676..1014110)	50S ribosomal protein L11
tpy:CQ11_04855	CDS	complement(1014220..1015020)	antitermination protein NusG
tpy:CQ11_04860	CDS	complement(1015041..1015271)	preprotein translocase subunit SecE
tpy:CQ11_04865	tRNA	complement(1015324..1015399)	tRNA-Trp
tpy:CQ11_04870	CDS	1015609..1016811	aspartate aminotransferase
tpy:CQ11_04875	CDS	complement(1016875..1018092)	phosphotransferase
tpy:CQ11_04880	CDS	1018173..1019207	adenosine deaminase
tpy:CQ11_04885	CDS	1019210..1020091	hydrolase
tpy:CQ11_04890	CDS	1020075..1020758	hypothetical protein
tpy:CQ11_04895	CDS	complement(1020778..1021938)	UDP-N-acetylenolpyruvoylglucosamine reductase
tpy:CQ11_04900	CDS	complement(1021946..1023166)	hypothetical protein
tpy:CQ11_04905	CDS	complement(1023399..1023569)	50S ribosomal protein L33
tpy:CQ11_04910	tRNA	complement(1023641..1023717)	tRNA-Met
tpy:CQ11_04915	tRNA	complement(1023745..1023820)	tRNA-Thr
tpy:CQ11_04920	tRNA	complement(1023910..1023990)	tRNA-Tyr
tpy:CQ11_04925	CDS	1024152..1024646	hypothetical protein
tpy:CQ11_04930	CDS	complement(1024745..1026130)	pyridine nucleotide-disulfide oxidoreductase
tpy:CQ11_04935	CDS	complement(1026259..1026915)	30S ribosomal protein S30
tpy:CQ11_04940	CDS	complement(1027043..1027774)	hypothetical protein
tpy:CQ11_04945	CDS	complement(1027881..1029551)	hypothetical protein
tpy:CQ11_04950	CDS	complement(1029548..1031260)	histidine kinase
tpy:CQ11_04955	CDS	complement(1031257..1031937)	transcriptional regulator
tpy:CQ11_04960	CDS	1032078..1033229	hypothetical protein
tpy:CQ11_04965	CDS	1033229..1033840	membrane protein
tpy:CQ11_04970	CDS	1033837..1034925	hypothetical protein
tpy:CQ11_04975	CDS	1034915..1035904	ATPase AAA
tpy:CQ11_04980	CDS	1035904..1037178	hypothetical protein
tpy:CQ11_04985	CDS	complement(1037276..1038241)	membrane protein
tpy:CQ11_04990	CDS	1038291..1039136	transporter
tpy:CQ11_04995	CDS	complement(1039139..1039480)	hypothetical protein
tpy:CQ11_05000	CDS	1039614..1040018	hypothetical protein
tpy:CQ11_05005	CDS	complement(1040015..1041370)	hypothetical protein
tpy:CQ11_05010	CDS	complement(1041367..1044321)	hypothetical protein
tpy:CQ11_05015	CDS	complement(1044321..1044602)	transcription factor WhiB
tpy:CQ11_05020	CDS	1044881..1045747	fructose 1,6-bisphosphatase
tpy:CQ11_05025	CDS	1045744..1046355	hypothetical protein
tpy:CQ11_05030	gene	complement(1046363..1047352)	pseudogene
tpy:CQ11_05035	CDS	1047394..1048257	glucose-1-phosphate thymidylyltransferase
tpy:CQ11_05040	CDS	complement(1048276..1049127)	dTDP-4-dehydrorhamnose reductase
tpy:CQ11_05045	CDS	complement(1049176..1051068)	hypothetical protein
tpy:CQ11_05050	CDS	complement(1051065..1053605)	glycosyl transferase family 1
tpy:CQ11_05055	CDS	1053656..1053997	hypothetical protein
tpy:CQ11_05060	CDS	1053994..1055406	glycosyl transferase family 2
tpy:CQ11_05065	CDS	complement(1055419..1056762)	glycosyl transferase family 1
tpy:CQ11_05070	CDS	complement(1056759..1058027)	ABC transporter ATP-binding protein
tpy:CQ11_05075	CDS	complement(1058024..1058857)	ABC transporter
tpy:CQ11_05080	CDS	complement(1058872..1060170)	nucleotide sugar dehydrogenase
tpy:CQ11_05085	CDS	complement(1060267..1062255)	hypothetical protein
tpy:CQ11_05090	CDS	complement(1062255..1063403)	glycosyl transferase family 1
tpy:CQ11_05095	CDS	1063448..1064509	UDP-N-acetylglucosamine 2-epimerase
tpy:CQ11_05100	CDS	complement(1064515..1066560)	hypothetical protein
tpy:CQ11_05105	CDS	complement(1066647..1067792)	hypothetical protein
tpy:CQ11_05110	CDS	complement(1067795..1069360)	asparagine synthase
tpy:CQ11_05115	CDS	1069445..1070542	hypothetical protein
tpy:CQ11_05125	CDS	complement(1071592..1072884)	teichoic acid transporter
tpy:CQ11_05130	CDS	complement(1072891..1073877)	dehydrogenase
tpy:CQ11_05135	CDS	complement(1073877..1074977)	aminotransferase DegT
tpy:CQ11_05140	CDS	complement(1074977..1075576)	acetylglucosamine-1-phosphate uridylyltransferase
tpy:CQ11_05145	CDS	1075670..1076344	glycosyl transferase
tpy:CQ11_05150	CDS	1076347..1076763	hypothetical protein
tpy:CQ11_05155	CDS	1076760..1077755	dTDP-glucose 4,6-dehydratase
tpy:CQ11_05160	CDS	1077755..1078639	glycosyl transferase family 2
tpy:CQ11_05165	CDS	complement(1078613..1079467)	glycosyl transferase
tpy:CQ11_05170	CDS	1079646..1080767	transcriptional regulator
tpy:CQ11_05175	CDS	1080767..1082092	transcriptional regulator
tpy:CQ11_05180	CDS	1082092..1082553	polysaccharide synthesis protein GtrA
tpy:CQ11_05185	CDS	complement(1082585..1083901)	histidine kinase
tpy:CQ11_05190	CDS	complement(1083905..1084579)	chemotaxis protein CheY
tpy:CQ11_05195	CDS	complement(1084662..1085711)	cyclase
tpy:CQ11_05200	CDS	1085848..1087530	hypothetical protein
tpy:CQ11_05205	CDS	1087527..1088186	septum formation inhibitor Maf
tpy:CQ11_05210	CDS	complement(1088178..1090529)	hypothetical protein
tpy:CQ11_05215	CDS	complement(1090954..1092285)	citrate synthase
tpy:CQ11_05220	CDS	complement(1092394..1093518)	N-succinyldiaminopimelate aminotransferase
tpy:CQ11_05225	CDS	complement(1093521..1093844)	ferredoxin
tpy:CQ11_05230	CDS	complement(1093914..1095755)	hypothetical protein
tpy:CQ11_05235	CDS	complement(1095821..1096183)	hypothetical protein
tpy:CQ11_05240	CDS	complement(1096180..1098120)	GTP-binding protein TypA
tpy:CQ11_05245	CDS	1098360..1098977	hypothetical protein
tpy:CQ11_05250	CDS	complement(1098974..1100704)	ABC transporter ATP-binding protein
tpy:CQ11_05255	CDS	complement(1100701..1102767)	ABC transporter permease
tpy:CQ11_05260	gene	complement(1103190..1104542)	pseudogene
tpy:CQ11_05265	CDS	complement(1105122..1107251)	peptide ABC transporter ATP-binding protein
tpy:CQ11_05270	CDS	complement(1107288..1108253)	peptide ABC transporter permease
tpy:CQ11_05275	CDS	complement(1108289..1109299)	peptide ABC transporter permease
tpy:CQ11_05280	CDS	1109541..1110320	lipoyltransferase
tpy:CQ11_05285	CDS	1110337..1111374	radical SAM protein
tpy:CQ11_05290	CDS	complement(1111484..1113055)	hypothetical protein
tpy:CQ11_05295	CDS	complement(1113048..1114328)	aminopeptidase 2
tpy:CQ11_05300	CDS	complement(1114370..1115143)	hypothetical protein
tpy:CQ11_05305	CDS	complement(1115147..1115617)	protein phosphatase
tpy:CQ11_05310	CDS	1115825..1118032	isocitrate dehydrogenase
tpy:CQ11_05315	CDS	1118279..1119319	sulfur transporter
tpy:CQ11_05320	CDS	1119329..1119556	oxidoreductase
tpy:CQ11_05325	CDS	complement(1119600..1121297)	alpha-amylase
tpy:CQ11_05330	CDS	complement(1121301..1123490)	glycoside hydrolase family 31
tpy:CQ11_05335	CDS	complement(1123593..1124861)	ABC transporter
tpy:CQ11_05340	CDS	complement(1124886..1125707)	sugar ABC transporter permease
tpy:CQ11_05345	CDS	complement(1125700..1126617)	sugar ABC transporter permease
tpy:CQ11_05350	CDS	1126730..1127872	ROK family transcriptional regulator
tpy:CQ11_05355	CDS	complement(1128243..1129070)	hypothetical protein
tpy:CQ11_05360	CDS	complement(1129606..1130235)	hypothetical protein
tpy:CQ11_05365	CDS	1131455..1131703	hypothetical protein
tpy:CQ11_05370	CDS	complement(1132471..1133319)	hypothetical protein
tpy:CQ11_05375	CDS	complement(1133312..1135081)	iron ABC transporter permease
tpy:CQ11_05380	CDS	complement(1135096..1136109)	ABC transporter
tpy:CQ11_05385	CDS	complement(1136116..1137117)	ABC transporter substrate-binding protein
tpy:CQ11_05390	gene	complement(1137287..1137778)	pseudogene
tpy:CQ11_05395	CDS	complement(1138472..1139689)	endonuclease
tpy:CQ11_05400	CDS	complement(1139843..1140478)	hypothetical protein
tpy:CQ11_05405	CDS	1140503..1140982	hypothetical protein
tpy:CQ11_05410	CDS	complement(1141028..1141765)	diguanylate cyclase
tpy:CQ11_05415	CDS	complement(1141767..1142627)	ABC transporter ATP-binding protein
tpy:CQ11_05420	CDS	complement(1142624..1143439)	peptide ABC transporter permease
tpy:CQ11_05425	CDS	complement(1143439..1144374)	ABC transporter permease
tpy:CQ11_05430	CDS	complement(1144453..1145976)	peptide ABC transporter
tpy:CQ11_05435	CDS	complement(1146114..1146998)	formate transporter
tpy:CQ11_05440	CDS	complement(1147112..1147615)	acetyltransferase
tpy:CQ11_05445	CDS	complement(1147622..1148197)	peptide deformylase
tpy:CQ11_05450	CDS	1148413..1148805	mechanosensitive ion channel protein MscL
tpy:CQ11_05455	CDS	complement(1148875..1149447)	nitroreductase
tpy:CQ11_05460	CDS	complement(1149447..1149893)	hypothetical protein
tpy:CQ11_05465	CDS	complement(1149972..1150625)	methyltransferase
tpy:CQ11_05470	CDS	complement(1150654..1151721)	hypothetical protein
tpy:CQ11_05475	CDS	complement(1151790..1152188)	acetyltransferase
tpy:CQ11_05480	CDS	1152477..1152992	ribonucleotide reductase
tpy:CQ11_05485	CDS	1153023..1154039	ribonucleotide-diphosphate reductase subunit beta
tpy:CQ11_05490	CDS	1154068..1154655	oxidoreductase
tpy:CQ11_05495	CDS	complement(1154680..1155381)	TetR family transcriptional regulator
tpy:CQ11_05500	CDS	complement(1155462..1156826)	proline permease
tpy:CQ11_05505	CDS	complement(1156889..1157938)	permease
tpy:CQ11_05510	CDS	complement(1158028..1159161)	serine/threonine protein kinase
tpy:CQ11_05515	CDS	complement(1159276..1160211)	carbamate kinase
tpy:CQ11_05520	CDS	complement(1160213..1161223)	ornithine carbamoyltransferase
tpy:CQ11_05525	CDS	complement(1161255..1162478)	arginine deiminase
tpy:CQ11_05530	CDS	complement(1162972..1164036)	alanine racemase
tpy:CQ11_05535	CDS	complement(1164048..1165412)	alpha-amylase
tpy:CQ11_05540	CDS	complement(1165414..1166238)	sugar ABC transporter permease
tpy:CQ11_05545	CDS	complement(1166238..1167140)	ABC transporter permease
tpy:CQ11_05550	CDS	complement(1167152..1168453)	ABC transporter substrate-binding protein
tpy:CQ11_05555	CDS	complement(1168486..1170207)	alpha-glucosidase
tpy:CQ11_05560	CDS	complement(1170805..1172604)	MFS transporter
tpy:CQ11_05565	CDS	complement(1172604..1173836)	amidohydrolase
tpy:CQ11_05570	CDS	complement(1173981..1175345)	MFS transporter
tpy:CQ11_05575	CDS	1175556..1176437	hypothetical protein
tpy:CQ11_05580	CDS	1176561..1178051	hypothetical protein
tpy:CQ11_05585	CDS	complement(1178087..1179271)	HipA-like protein
tpy:CQ11_05590	CDS	complement(1179280..1179456)	DNA-binding protein
tpy:CQ11_05595	CDS	complement(1180393..1181106)	hypothetical protein
tpy:CQ11_05600	CDS	complement(1181526..1182125)	hypothetical protein
tpy:CQ11_05605	CDS	complement(1182789..1184273)	hypothetical protein
tpy:CQ11_05610	CDS	complement(1184290..1185387)	GTP-binding protein
tpy:CQ11_05615	CDS	1185516..1186778	recombinase RmuC
tpy:CQ11_05620	CDS	complement(1186823..1187947)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
tpy:CQ11_05625	CDS	1188052..1189293	exodeoxyribonuclease VII large subunit
tpy:CQ11_05630	CDS	1189296..1189553	exodeoxyribonuclease VII small subunit
tpy:CQ11_05635	CDS	1189550..1190500	ribokinase
tpy:CQ11_05640	CDS	complement(1190497..1191258)	UDP pyrophosphate synthase
tpy:CQ11_05645	CDS	1191375..1192094	hemolysin III
tpy:CQ11_05650	CDS	complement(1192167..1193030)	GlcNAc-PI de-N-acetylase
tpy:CQ11_05655	CDS	1193270..1193743	transcription elongation factor GreA
tpy:CQ11_05660	CDS	1193743..1194417	methionine sulfoxide reductase A
tpy:CQ11_05665	CDS	1194493..1195764	hypothetical protein
tpy:CQ11_05670	CDS	1195853..1196296	peptidylprolyl isomerase
tpy:CQ11_05675	CDS	complement(1196305..1197903)	proline:sodium symporter PutP
tpy:CQ11_05680	CDS	1198121..1201597	1-pyrroline-5-carboxylate dehydrogenase
tpy:CQ11_05685	CDS	complement(1201643..1202335)	hypothetical protein
tpy:CQ11_05690	CDS	complement(1202344..1203102)	hypothetical protein
tpy:CQ11_05695	CDS	complement(1203107..1203883)	ABC transporter
tpy:CQ11_05700	CDS	complement(1203880..1204245)	GntR family transcriptional regulator
tpy:CQ11_05705	CDS	complement(1204737..1205597)	membrane protein
tpy:CQ11_05715	CDS	1205840..1206802	ABC transporter
tpy:CQ11_05720	CDS	1206795..1207574	hypothetical protein
tpy:CQ11_05725	tRNA	complement(1207600..1207672)	tRNA-Leu
tpy:CQ11_05730	CDS	1207790..1209118	nhaA; pH-dependent sodium/proton antiporter
tpy:CQ11_05735	CDS	complement(1209165..1210121)	exopolyphosphatase
tpy:CQ11_05740	CDS	complement(1210118..1210678)	hypothetical protein
tpy:CQ11_05745	CDS	complement(1210695..1211273)	acyl-phosphate glycerol 3-phosphate acyltransferase
tpy:CQ11_05750	CDS	complement(1211663..1212943)	eno; enolase
tpy:CQ11_05755	CDS	1213364..1214320	rihB; ribonucleoside hydrolase
tpy:CQ11_05760	CDS	complement(1214366..1217881)	transcription-repair coupling factor
tpy:CQ11_05765	CDS	complement(1217901..1218485)	peptidyl-tRNA hydrolase
tpy:CQ11_05770	CDS	complement(1218735..1219334)	50S ribosomal protein L25
tpy:CQ11_05775	CDS	complement(1219666..1220649)	ribose-phosphate pyrophosphokinase
tpy:CQ11_05780	CDS	complement(1220735..1221760)	UDP-N-acetylglucosamine diphosphorylase
tpy:CQ11_05785	tRNA	complement(1221785..1221855)	tRNA-Gln
tpy:CQ11_05790	CDS	1221932..1222582	TetR family transcriptional regulator
tpy:CQ11_05795	CDS	1222675..1223142	hypothetical protein
tpy:CQ11_05800	CDS	1223139..1223471	MarR family transcripitonal regulator
tpy:CQ11_05805	CDS	1223532..1224488	ABC transporter ATP-binding protein
tpy:CQ11_05810	CDS	1224488..1225702	ABC transporter permease
tpy:CQ11_05815	CDS	complement(1225798..1226337)	MarR family transcriptional regulator
tpy:CQ11_05820	CDS	complement(1226401..1228257)	glycerophosphodiester phosphodiesterase
tpy:CQ11_05825	CDS	complement(1228257..1229153)	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
tpy:CQ11_05830	CDS	complement(1229175..1230059)	16S rRNA methyltransferase
tpy:CQ11_05835	CDS	complement(1230060..1230407)	hypothetical protein
tpy:CQ11_05845	CDS	complement(1231359..1232318)	deoxyribonuclease
tpy:CQ11_05850	CDS	complement(1232319..1234127)	methionine--tRNA ligase
tpy:CQ11_05860	CDS	complement(1234565..1235485)	transposase
tpy:CQ11_05865	CDS	complement(1235482..1235796)	transposase
tpy:CQ11_05870	CDS	1236719..1237291	terminase
tpy:CQ11_05875	CDS	1238525..1238893	hypothetical protein
tpy:CQ11_05880	gene	1239100..1240140	pseudogene
tpy:CQ11_05885	CDS	complement(1240148..1240897)	DNA replication protein
tpy:CQ11_05890	gene	complement(1240866..1242092)	pseudogene
tpy:CQ11_05895	CDS	complement(1242132..1243085)	hypothetical protein
tpy:CQ11_05900	CDS	1243571..1244623	nicotinamidase
tpy:CQ11_05905	CDS	complement(1244731..1245546)	16S rRNA methyltransferase
tpy:CQ11_05915	CDS	complement(1245868..1246236)	hypothetical protein
tpy:CQ11_05920	CDS	1246322..1248013	dolichyl-phosphate-mannose-mannosyltransferase
tpy:CQ11_05925	CDS	1248119..1249381	O-acetylhomoserine aminocarboxypropyltransferase
tpy:CQ11_05930	CDS	complement(1249442..1249666)	hypothetical protein
tpy:CQ11_05935	CDS	complement(1250050..1250286)	hypothetical protein
tpy:CQ11_05940	CDS	1250456..1250800	hypothetical protein
tpy:CQ11_05945	CDS	1251386..1252141	multidrug ABC transporter ATPase
tpy:CQ11_05950	CDS	1252131..1253411	hypothetical protein
