pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_10795	CDS	2484811..2485500	hypothetical protein
pkt:AT984_10800	CDS	2485497..2486186	amino acid ABC transporter permease
pkt:AT984_10805	CDS	2486195..2487310	succinylglutamate desuccinylase
pkt:AT984_10810	CDS	2487330..2488097	amino acid transporter
pkt:AT984_10815	CDS	2488245..2488493	hypothetical protein
pkt:AT984_10820	CDS	complement(2488553..2489281)	hypothetical protein
pkt:AT984_10825	CDS	2489734..2489937	hypothetical protein
pkt:AT984_10830	CDS	complement(2490065..2490619)	NADPH-dependent FMN reductase
pkt:AT984_10835	CDS	complement(2490670..2491404)	quercetin 2,3-dioxygenase
pkt:AT984_10840	CDS	2491554..2492552	LysR family transcriptional regulator
pkt:AT984_10845	CDS	2492603..2493529	glutamyl-Q tRNA(Asp) ligase
pkt:AT984_10850	CDS	2493532..2494254	peptidylprolyl isomerase
pkt:AT984_10855	CDS	2494408..2495166	hypothetical protein
pkt:AT984_10860	CDS	2495208..2496587	hypothetical protein
pkt:AT984_10865	CDS	2496700..2497122	hypothetical protein
pkt:AT984_10870	CDS	complement(2497181..2498059)	hypothetical protein
pkt:AT984_10875	CDS	2498210..2498656	hypothetical protein
pkt:AT984_10880	CDS	complement(2498665..2499771)	C4-dicarboxylate ABC transporter
pkt:AT984_10885	CDS	2500100..2501089	hypothetical protein
pkt:AT984_10890	CDS	complement(2501131..2501628)	hypothetical protein
pkt:AT984_10895	CDS	complement(2501718..2502098)	hypothetical protein
pkt:AT984_10900	CDS	complement(2502231..2502923)	DNA-binding protein
pkt:AT984_10905	CDS	complement(2502975..2505794)	AAA family ATPase
pkt:AT984_10910	CDS	complement(2505798..2506523)	hypothetical protein
pkt:AT984_10915	CDS	complement(2506520..2507740)	hypothetical protein
pkt:AT984_10920	CDS	complement(2507866..2508474)	hypothetical protein
pkt:AT984_10925	CDS	complement(2508579..2510282)	RNA helicase
pkt:AT984_10930	CDS	complement(2510855..2513194)	hypothetical protein
pkt:AT984_10935	CDS	2513250..2513888	hypothetical protein
pkt:AT984_10940	CDS	complement(2513904..2515748)	hypothetical protein
pkt:AT984_10945	CDS	complement(2515823..2516413)	oligoribonuclease
pkt:AT984_10950	CDS	2516477..2517742	peptidase M48
pkt:AT984_10955	CDS	2517759..2518124	hypothetical protein
pkt:AT984_10960	CDS	2518121..2519029	GTPase RsgA
pkt:AT984_10965	CDS	complement(2519079..2521385)	arginine decarboxylase
pkt:AT984_10970	CDS	complement(2521519..2522436)	hypothetical protein
pkt:AT984_10975	CDS	complement(2522541..2523875)	putrescine-ornithine antiporter
pkt:AT984_10980	CDS	complement(2523984..2526272)	arginine decarboxylase
pkt:AT984_10985	CDS	complement(2526793..2527074)	hypothetical protein
pkt:AT984_10990	CDS	complement(2527142..2527897)	3-oxoacyl-ACP reductase
pkt:AT984_10995	CDS	complement(2527925..2530000)	peptidase M3
pkt:AT984_11000	CDS	complement(2530111..2530803)	hypothetical protein
pkt:AT984_11005	CDS	complement(2530960..2531232)	hypothetical protein
pkt:AT984_11010	CDS	2531307..2531867	hypothetical protein
pkt:AT984_11015	CDS	2531960..2534044	prolyl oligopeptidase
pkt:AT984_11020	CDS	2534355..2534951	hypothetical protein
pkt:AT984_11025	CDS	complement(2534982..2536703)	long-chain fatty acid--CoA ligase
pkt:AT984_11030	CDS	2536942..2538285	argininosuccinate synthase
pkt:AT984_11035	CDS	2538402..2538899	hypothetical protein
pkt:AT984_11040	CDS	2538925..2541231	hypothetical protein
pkt:AT984_11045	CDS	complement(2541239..2542267)	UDP-N-acetylenolpyruvoylglucosamine reductase
pkt:AT984_11050	CDS	2542381..2542875	nucleotide-binding protein
pkt:AT984_11055	CDS	2543020..2543583	peptidase A2
pkt:AT984_11060	CDS	2543718..2546555	hypothetical protein
pkt:AT984_11065	CDS	2546724..2547524	hypothetical protein
pkt:AT984_11070	CDS	2547719..2548897	pimeloyl-CoA dehydrogenase large subunit
pkt:AT984_11075	CDS	2548910..2550031	acyl-CoA dehydrogenase
pkt:AT984_11080	CDS	2550062..2550802	16S rRNA pseudouridine(516) synthase
pkt:AT984_11085	CDS	2551063..2553060	hypothetical protein
pkt:AT984_11090	CDS	2553107..2554147	bifunctional riboflavin kinase/FMN adenylyltransferase
pkt:AT984_11095	CDS	2554250..2557084	isoleucine--tRNA ligase
pkt:AT984_11100	CDS	2557114..2557611	signal peptidase II
pkt:AT984_11105	CDS	2557750..2558523	hypothetical protein
pkt:AT984_11110	CDS	2558670..2560247	hypothetical protein
pkt:AT984_11115	CDS	complement(2560253..2561260)	quinone oxidoreductase
pkt:AT984_11120	CDS	complement(2561359..2562147)	3-oxoacyl-ACP reductase
pkt:AT984_11125	CDS	complement(2562152..2563105)	multidrug DMT transporter permease
pkt:AT984_11130	CDS	complement(2563235..2564446)	2-nitropropane dioxygenase
pkt:AT984_11135	CDS	2564794..2565840	hypothetical protein
pkt:AT984_11140	CDS	2566144..2567694	hypothetical protein
pkt:AT984_11145	CDS	2567964..2568536	hypothetical protein
pkt:AT984_11150	CDS	complement(2568661..2568864)	hypothetical protein
pkt:AT984_11155	CDS	complement(2569110..2570792)	MFS transporter
pkt:AT984_11160	CDS	complement(2571044..2571694)	disulfide bond formation protein DsbA
pkt:AT984_11165	CDS	complement(2571724..2571957)	hypothetical protein
pkt:AT984_11170	CDS	complement(2571954..2572469)	cys-tRNA(pro)/cys-tRNA(cys) deacylase
pkt:AT984_11175	CDS	2572534..2573421	plasmid replication/partition related protein
pkt:AT984_11180	CDS	complement(2573503..2574294)	hypothetical protein
pkt:AT984_11185	CDS	complement(2574291..2575370)	hypothetical protein
pkt:AT984_11190	CDS	complement(2575370..2576338)	hypothetical protein
pkt:AT984_11195	CDS	complement(2576493..2577881)	C4-dicarboxylate ABC transporter
pkt:AT984_11200	CDS	complement(2577928..2579064)	hypothetical protein
pkt:AT984_11205	CDS	complement(2579199..2580485)	hypothetical protein
pkt:AT984_11210	CDS	2580977..2583688	hypothetical protein
pkt:AT984_11215	CDS	complement(2583761..2585299)	hypothetical protein
pkt:AT984_11220	CDS	2585572..2588361	TonB-dependent receptor
pkt:AT984_11225	CDS	complement(2588458..2588751)	hypothetical protein
pkt:AT984_11230	CDS	complement(2588849..2589502)	hypothetical protein
pkt:AT984_11235	CDS	complement(2589516..2590298)	short-chain dehydrogenase
pkt:AT984_11240	CDS	complement(2590479..2591141)	hypothetical protein
pkt:AT984_11245	CDS	2591414..2593099	electron transfer flavoprotein-ubiquinone oxidoreductase
pkt:AT984_11250	CDS	complement(2593266..2593865)	GNAT family acetyltransferase
pkt:AT984_11255	CDS	2594457..2596706	hypothetical protein
pkt:AT984_11260	tRNA	complement(2596905..2596996)	tRNA-Ser
pkt:AT984_11265	CDS	complement(2597091..2598359)	aspartate kinase
pkt:AT984_11270	CDS	complement(2598564..2599952)	hypothetical protein
pkt:AT984_11275	CDS	complement(2599921..2600892)	acetyl-CoA carboxylase carboxyl transferase subunit alpha
pkt:AT984_11280	CDS	complement(2600981..2601631)	DNA-3-methyladenine glycosylase
pkt:AT984_11285	CDS	complement(2601634..2603019)	cysteine--tRNA ligase
pkt:AT984_11290	CDS	2603306..2603854	hypothetical protein
pkt:AT984_11295	CDS	2603933..2604523	hypothetical protein
pkt:AT984_11300	CDS	2604520..2605035	cyclophilin
pkt:AT984_11305	CDS	2605028..2605807	UDP-2,3-diacylglucosamine hydrolase
pkt:AT984_11310	CDS	2605807..2606601	hypothetical protein
pkt:AT984_11315	CDS	complement(2606680..2609001)	clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
pkt:AT984_11320	CDS	complement(2608998..2609339)	ATP-dependent Clp protease adaptor ClpS
pkt:AT984_11325	CDS	2609600..2609848	hypothetical protein
pkt:AT984_11330	CDS	complement(2609952..2610311)	ribosomal subunit Interface protein
pkt:AT984_11335	CDS	complement(2610498..2611751)	isocitrate dehydrogenase
pkt:AT984_11340	CDS	complement(2611915..2614152)	isocitrate dehydrogenase
pkt:AT984_11345	CDS	complement(2614280..2614999)	hypothetical protein
pkt:AT984_11350	CDS	complement(2614999..2616384)	coproporphyrinogen III oxidase
pkt:AT984_11355	CDS	2616656..2617390	transcriptional regulator
pkt:AT984_11360	CDS	complement(2617522..2617776)	hypothetical protein
pkt:AT984_11365	CDS	complement(2617871..2618134)	hypothetical protein
pkt:AT984_11370	CDS	complement(2618186..2619658)	cytochrome c oxidase accessory protein CcoG
pkt:AT984_11375	CDS	complement(2619685..2620599)	cytochrome oxidase subunit III
pkt:AT984_11380	CDS	complement(2620596..2620751)	cytochrome oxidase
pkt:AT984_11385	CDS	complement(2620769..2621392)	cytochrome C oxidase Cbb3
pkt:AT984_11390	CDS	complement(2621413..2622861)	cytochrome C oxidase Cbb3
pkt:AT984_11395	CDS	complement(2622900..2623100)	cytochrome oxidase
pkt:AT984_11400	CDS	complement(2623103..2625343)	ATPase P
pkt:AT984_11405	CDS	2625528..2625980	hypothetical protein
pkt:AT984_11410	CDS	complement(2626720..2627301)	superoxide dismutase
pkt:AT984_11415	CDS	complement(2627392..2628696)	exodeoxyribonuclease VII large subunit
pkt:AT984_11420	CDS	2629072..2629689	flagellar motor protein MotA
pkt:AT984_11425	CDS	2629712..2630128	biopolymer transporter ExbD
pkt:AT984_11430	CDS	2630218..2631207	tetraacyldisaccharide 4'-kinase
pkt:AT984_11435	CDS	2631245..2631439	tetraacyldisaccharide 4'-kinase
pkt:AT984_11440	CDS	2631454..2632209	3-deoxy-manno-octulosonate cytidylyltransferase
pkt:AT984_11445	CDS	2632374..2633027	adenylate kinase
pkt:AT984_11450	CDS	2633162..2633920	3-hydroxy-2-methylbutyryl-CoA dehydrogenase
pkt:AT984_11455	CDS	complement(2634173..2635453)	hypothetical protein
pkt:AT984_11460	CDS	complement(2635644..2636069)	biopolymer transporter ExbD
pkt:AT984_11465	CDS	complement(2636097..2636525)	biopolymer transporter ExbD
pkt:AT984_11470	CDS	complement(2636575..2637417)	biopolymer transporter ExbB
pkt:AT984_11475	CDS	complement(2637523..2638176)	hypothetical protein
pkt:AT984_11480	CDS	complement(2638756..2640006)	aspartyl beta-hydroxylase
pkt:AT984_11485	CDS	complement(2640183..2643086)	TonB-dependent receptor
pkt:AT984_11490	CDS	complement(2643508..2645403)	ABC transporter ATP-binding protein
pkt:AT984_11495	CDS	complement(2645409..2646872)	peptide ABC transporter permease
pkt:AT984_11500	CDS	complement(2646882..2647865)	peptide ABC transporter permease
pkt:AT984_11505	CDS	complement(2647866..2650115)	peptide ABC transporter substrate-binding protein
pkt:AT984_11510	gene	complement(2650371..2651279)	pseudogene
pkt:AT984_11515	CDS	complement(2651289..2651846)	hypothetical protein
pkt:AT984_11520	CDS	complement(2652056..2652274)	hypothetical protein
pkt:AT984_11525	CDS	complement(2652321..2653952)	guaA; GMP synthetase
pkt:AT984_11530	CDS	complement(2653988..2655202)	tetracycline transporter
pkt:AT984_11535	CDS	complement(2655360..2656829)	IMP dehydrogenase
pkt:AT984_11540	CDS	2657015..2657539	hypothetical protein
pkt:AT984_11545	CDS	complement(2657613..2657933)	hypothetical protein
pkt:AT984_11550	CDS	complement(2657950..2658459)	cyclase
pkt:AT984_11555	CDS	2658511..2659026	SsrA-binding protein
pkt:AT984_11560	CDS	complement(2659096..2660286)	cystathionine beta-lyase
pkt:AT984_11565	CDS	complement(2660411..2661811)	rimO; ribosomal protein S12 methylthiotransferase RimO
pkt:AT984_11570	CDS	complement(2661878..2662474)	polyhydroxyalkanoate biosynthesis repressor PhaR
pkt:AT984_11575	CDS	complement(2662697..2664745)	peptidase M13
pkt:AT984_11580	tRNA	complement(2664991..2665067)	tRNA-Val
pkt:AT984_11585	tRNA	complement(2665140..2665216)	tRNA-Val
pkt:AT984_11590	CDS	complement(2665283..2667598)	GTP pyrophosphokinase
pkt:AT984_11595	CDS	complement(2667675..2668559)	alpha/beta hydrolase
pkt:AT984_11600	CDS	2668664..2669434	3-hydroxybutyrate dehydrogenase
pkt:AT984_11605	CDS	complement(2669497..2670255)	hypothetical protein
pkt:AT984_11610	CDS	2670457..2671197	two-component system response regulator
pkt:AT984_11615	CDS	2671209..2672543	histidine kinase
pkt:AT984_11620	CDS	2672776..2673606	hypothetical protein
pkt:AT984_11625	CDS	complement(2673622..2674152)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
pkt:AT984_11630	CDS	2674347..2676584	hypothetical protein
pkt:AT984_11635	CDS	complement(2676618..2677355)	Cro/Cl family transcriptional regulator
pkt:AT984_11640	CDS	2677613..2678242	hypothetical protein
pkt:AT984_11645	CDS	2678618..2679619	hypothetical protein
pkt:AT984_11650	CDS	complement(2679680..2680378)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
pkt:AT984_11655	CDS	complement(2680444..2681388)	bestrophin
pkt:AT984_11660	CDS	complement(2681415..2682926)	acetyl-CoA hydrolase
pkt:AT984_11665	CDS	2683148..2684197	rRNA methyltransferase
pkt:AT984_11670	CDS	complement(2684269..2685399)	hypothetical protein
pkt:AT984_11675	CDS	complement(2685425..2686678)	hypothetical protein
pkt:AT984_11680	CDS	2686950..2687615	hypothetical protein
pkt:AT984_11685	CDS	2687941..2691480	transcription-repair coupling factor
pkt:AT984_11690	CDS	2691493..2692206	phosphoserine phosphatase
pkt:AT984_11695	CDS	2692240..2692470	RNA-binding protein
pkt:AT984_11700	CDS	2692479..2692988	ribonuclease
pkt:AT984_11705	CDS	complement(2693027..2694739)	thiamine pyrophosphate-binding protein
pkt:AT984_11710	CDS	complement(2694736..2695977)	MFS transporter
pkt:AT984_11715	CDS	2696066..2696926	AraC family transcriptional regulator
pkt:AT984_11720	CDS	2697040..2698143	quinolinate synthetase
pkt:AT984_11725	CDS	2698291..2698581	hypothetical protein
pkt:AT984_11730	CDS	complement(2698614..2700236)	L-aspartate oxidase
pkt:AT984_11735	CDS	complement(2700296..2701294)	hypothetical protein
pkt:AT984_11740	CDS	2701473..2702657	hypothetical protein
pkt:AT984_11745	CDS	2702716..2704053	hypothetical protein
pkt:AT984_11750	CDS	complement(2704186..2706780)	ATP-dependent chaperone ClpB
pkt:AT984_11755	CDS	2707057..2708355	hypothetical protein
pkt:AT984_11760	CDS	2708361..2708870	hypothetical protein
pkt:AT984_11765	CDS	2708873..2710525	hypothetical protein
pkt:AT984_11770	CDS	complement(2710552..2710932)	camphor resistance protein CrcB
pkt:AT984_11775	CDS	complement(2710941..2711432)	molybdenum cofactor biosynthesis protein MoaE
pkt:AT984_11780	CDS	2711672..2712742	hypothetical protein
pkt:AT984_11785	CDS	2712735..2714381	hypothetical protein
pkt:AT984_11790	CDS	2714404..2714628	hypothetical protein
pkt:AT984_11795	CDS	2714758..2715156	hypothetical protein
pkt:AT984_11800	CDS	2715189..2716118	hypothetical protein
pkt:AT984_11805	CDS	2716211..2717821	spermidine synthase
pkt:AT984_11810	CDS	2717818..2719386	hypothetical protein
pkt:AT984_11815	CDS	2719527..2719991	peptidylprolyl isomerase
pkt:AT984_11820	CDS	complement(2720066..2720611)	hypothetical protein
pkt:AT984_11825	CDS	2721193..2721543	multidrug transporter
pkt:AT984_11830	CDS	2721546..2721869	ligand-binding protein SH3
pkt:AT984_11835	CDS	complement(2722161..2723879)	hypothetical protein
pkt:AT984_11840	CDS	complement(2724211..2725362)	hypothetical protein
pkt:AT984_11845	CDS	2725446..2725940	transcriptional regulator
pkt:AT984_11850	CDS	2726080..2726613	hypothetical protein
pkt:AT984_11855	CDS	complement(2726697..2727068)	S-adenosylmethionine decarboxylase proenzyme
pkt:AT984_11860	CDS	complement(2727097..2727348)	molybdopterin synthase sulfur carrier subunit
pkt:AT984_11865	CDS	complement(2727364..2728632)	molybdenum cofactor biosynthesis protein MoaA
pkt:AT984_11870	CDS	complement(2728625..2730031)	threonine synthase
pkt:AT984_11875	CDS	complement(2730033..2731346)	homoserine dehydrogenase
pkt:AT984_11880	CDS	complement(2731394..2732620)	aminotransferase
pkt:AT984_11885	CDS	2732762..2733136	hypothetical protein
pkt:AT984_11890	CDS	2733311..2733793	peroxiredoxin
pkt:AT984_11895	CDS	2734083..2735855	phosphate starvation-inducible protein PhoH
pkt:AT984_11900	CDS	2735956..2736819	hypothetical protein
pkt:AT984_11905	CDS	complement(2736895..2737185)	hypothetical protein
pkt:AT984_11910	CDS	2737942..2738475	hypothetical protein
pkt:AT984_11915	CDS	complement(2738550..2739041)	hypothetical protein
pkt:AT984_11920	CDS	complement(2739076..2741130)	enoyl-CoA hydratase
pkt:AT984_11925	CDS	complement(2741317..2742471)	branched-chain amino acid ABC transporter substrate-binding protein
pkt:AT984_11930	CDS	complement(2742543..2743163)	TetR family transcriptional regulator
pkt:AT984_11935	CDS	complement(2743196..2744275)	phenylacetic acid degradation protein
pkt:AT984_11940	CDS	complement(2744297..2744821)	phenylacetate-CoA oxygenase subunit PaaJ
pkt:AT984_11945	CDS	complement(2744824..2745624)	phenylacetic acid degradation protein
pkt:AT984_11950	CDS	complement(2745636..2745950)	phenylacetate-CoA oxygenase subunit PaaB
pkt:AT984_11955	CDS	complement(2745988..2746989)	phenylacetate-CoA oxygenase
pkt:AT984_11960	CDS	complement(2747014..2748330)	phenylacetate--CoA ligase
pkt:AT984_11965	CDS	complement(2748354..2748815)	phenylacetic acid degradation protein
pkt:AT984_11970	CDS	complement(2748820..2749626)	enoyl-CoA hydratase
pkt:AT984_11975	CDS	2749858..2750460	phenylacetic acid degradation protein PaaY
pkt:AT984_11980	CDS	complement(2750543..2751925)	hypothetical protein
pkt:AT984_11985	CDS	complement(2751955..2752446)	hypothetical protein
pkt:AT984_11990	CDS	2752633..2753769	cyclic pyranopterin phosphate synthase MoaA
pkt:AT984_11995	CDS	2753779..2754456	hypothetical protein
pkt:AT984_12000	CDS	2754471..2755004	hypothetical protein
pkt:AT984_12005	CDS	2755068..2756369	molybdenum cofactor biosynthesis protein MoaA
pkt:AT984_12010	CDS	2756464..2757747	cyanophycinase
pkt:AT984_12015	CDS	complement(2757744..2758421)	hypothetical protein
pkt:AT984_12020	CDS	complement(2758586..2759308)	hypothetical protein
pkt:AT984_12025	CDS	2759459..2760004	hypothetical protein
pkt:AT984_12030	CDS	2760022..2761044	2-dehydropantoate 2-reductase
pkt:AT984_12035	CDS	complement(2761068..2761646)	nitroreductase
pkt:AT984_12040	CDS	complement(2761650..2762078)	hypothetical protein
pkt:AT984_12045	CDS	complement(2762021..2762485)	glycine cleavage system protein H
pkt:AT984_12050	tRNA	complement(2762570..2762665)	tRNA-Sec
pkt:AT984_12055	CDS	complement(2762697..2764643)	selenocysteine-specific elongation factor
pkt:AT984_12060	CDS	complement(2764640..2766091)	L-seryl-tRNA(Sec) selenium transferase
pkt:AT984_12065	CDS	complement(2766091..2767128)	hypothetical protein
pkt:AT984_12070	CDS	complement(2767205..2767831)	formate dehydrogenase
pkt:AT984_12075	CDS	complement(2767828..2768736)	formate dehydrogenase
pkt:AT984_12080	CDS	complement(2768739..2771174)	formate dehydrogenase
pkt:AT984_12085	CDS	complement(2771223..2771810)	sulfate ABC transporter substrate-binding protein
pkt:AT984_12090	CDS	complement(2772110..2772997)	formate dehydrogenase family accessory protein FdhD
pkt:AT984_12095	CDS	complement(2773136..2774230)	ATP-binding protein
pkt:AT984_12100	CDS	complement(2774388..2775947)	hypothetical protein
pkt:AT984_12105	CDS	complement(2776306..2778705)	serine/threonine protein kinase
pkt:AT984_12110	CDS	complement(2778786..2780651)	hypothetical protein
pkt:AT984_12115	CDS	2781226..2781534	hypothetical protein
pkt:AT984_12120	CDS	2781531..2783258	actP; cation acetate symporter
pkt:AT984_12125	CDS	complement(2783352..2783984)	DNA polymerase III subunit epsilon
pkt:AT984_12130	CDS	complement(2784038..2785885)	cyclic nucleotide-binding protein
pkt:AT984_12135	CDS	complement(2785978..2789799)	ATP-dependent helicase
pkt:AT984_12140	CDS	2789947..2791287	N-acetylglutamate synthase
pkt:AT984_12145	CDS	2791377..2791649	Fe(2+)-trafficking protein
pkt:AT984_12150	CDS	2791914..2792957	Fe(3+) ABC transporter substrate-binding protein
pkt:AT984_12155	CDS	2793134..2793430	histone family protein nucleoid-structuring protein H-NS
pkt:AT984_12160	CDS	2793865..2797047	hypothetical protein
pkt:AT984_12165	CDS	2797058..2799082	DNA primase
pkt:AT984_12170	CDS	2799477..2801708	RNA polymerase subunit sigma
pkt:AT984_12175	CDS	2801914..2802891	adenylate cyclase
pkt:AT984_12180	CDS	2803158..2804033	hypothetical protein
pkt:AT984_12185	CDS	2804141..2804956	hypothetical protein
pkt:AT984_12190	CDS	2805084..2806178	ferrochelatase
pkt:AT984_12195	CDS	complement(2806234..2807730)	tripartite tricarboxylate transporter TctA
pkt:AT984_12200	CDS	complement(2807730..2808263)	tripartite tricarboxylate transporter TctB
pkt:AT984_12205	CDS	complement(2808263..2809225)	C4-dicarboxylate ABC transporter substrate-binding protein
pkt:AT984_12210	CDS	2809464..2810171	two-component system response regulator
pkt:AT984_12215	CDS	2810227..2811660	histidine kinase
pkt:AT984_12220	CDS	2811657..2812097	RNA-binding protein
pkt:AT984_12225	CDS	2812319..2812852	molecular chaperone GrpE
pkt:AT984_12230	CDS	2813009..2814970	dnaK; molecular chaperone DnaK
pkt:AT984_12235	CDS	2815089..2816237	molecular chaperone DnaJ
pkt:AT984_12240	CDS	2816323..2816511	hypothetical protein
pkt:AT984_12245	CDS	2816511..2818121	hypothetical protein
pkt:AT984_12250	CDS	2818309..2818638	hypothetical protein
pkt:AT984_12255	gene	complement(2818790..2819641)	pseudogene
pkt:AT984_12260	CDS	2819881..2820219	hypothetical protein
pkt:AT984_12265	CDS	2820338..2820655	hypothetical protein
pkt:AT984_12270	CDS	2820735..2821049	hypothetical protein
pkt:AT984_12275	CDS	2821727..2822038	hypothetical protein
pkt:AT984_12280	CDS	2822603..2823553	integrase
pkt:AT984_12285	CDS	complement(2823792..2824628)	hypothetical protein
pkt:AT984_12290	CDS	complement(2824780..2825136)	ArsR family transcriptional regulator
pkt:AT984_12295	CDS	complement(2825456..2826781)	Fis family transcriptional regulator
pkt:AT984_12300	CDS	2827208..2828764	cytochrome d terminal oxidase subunit 1
pkt:AT984_12305	CDS	2828775..2829917	cytochrome d ubiquinol oxidase subunit 2
pkt:AT984_12310	CDS	2829992..2830606	ubiquinol-cytochrome c reductase iron-sulfur subunit
pkt:AT984_12315	CDS	2830871..2831248	hypothetical protein
pkt:AT984_12320	CDS	complement(2831753..2831980)	hypothetical protein
pkt:AT984_12325	CDS	2831979..2832182	hypothetical protein
pkt:AT984_12330	CDS	2832831..2834249	hypothetical protein
pkt:AT984_12335	CDS	2834227..2834493	transposase
pkt:AT984_12340	CDS	2834526..2835353	transposase
pkt:AT984_12345	CDS	complement(2835588..2836325)	AAA family ATPase
pkt:AT984_12350	CDS	complement(2836429..2837973)	transposase
pkt:AT984_12355	CDS	complement(2838468..2839343)	integrase
pkt:AT984_12360	CDS	complement(2839340..2839663)	transposase
pkt:AT984_12365	CDS	complement(2840133..2840420)	hypothetical protein
pkt:AT984_12370	CDS	complement(2840465..2841913)	replicative DNA helicase
pkt:AT984_12375	CDS	complement(2842159..2842614)	50S ribosomal protein L9
pkt:AT984_12380	CDS	complement(2842628..2842918)	30S ribosomal protein S18
pkt:AT984_12385	CDS	complement(2842963..2843271)	single-stranded DNA-binding protein
pkt:AT984_12390	CDS	complement(2843306..2843668)	30S ribosomal protein S6
pkt:AT984_12395	CDS	complement(2843839..2845941)	cation acetate symporter
pkt:AT984_12400	CDS	complement(2846067..2848475)	phosphoenolpyruvate synthase
pkt:AT984_12405	CDS	2848800..2849621	phosphoenolpyruvate synthase regulatory protein
pkt:AT984_12410	CDS	2849623..2850498	hypothetical protein
pkt:AT984_12415	CDS	complement(2850501..2851274)	rRNA methyltransferase
pkt:AT984_12420	CDS	complement(2851275..2851907)	ribonuclease HII
pkt:AT984_12425	CDS	complement(2851873..2853039)	lipid-A-disaccharide synthase
pkt:AT984_12430	CDS	complement(2853047..2853829)	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
pkt:AT984_12435	CDS	complement(2853844..2854287)	beta-hydroxyacyl-ACP dehydratase
pkt:AT984_12440	CDS	complement(2854290..2855360)	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
pkt:AT984_12445	CDS	complement(2855369..2855890)	outer membrane protein chaperone
pkt:AT984_12450	CDS	complement(2855890..2858205)	outer membrane protein assembly factor BamA
pkt:AT984_12455	CDS	complement(2858214..2859581)	RIP metalloprotease RseP
pkt:AT984_12460	CDS	complement(2859578..2860777)	1-deoxy-D-xylulose 5-phosphate reductoisomerase
pkt:AT984_12465	CDS	complement(2860774..2861634)	phosphatidate cytidylyltransferase
pkt:AT984_12470	CDS	complement(2861654..2862385)	UDP diphosphate synthase
pkt:AT984_12475	CDS	complement(2862401..2862961)	ribosome recycling factor
pkt:AT984_12480	CDS	complement(2863006..2863716)	UMP kinase
pkt:AT984_12485	CDS	complement(2863858..2864748)	elongation factor Ts
pkt:AT984_12490	CDS	complement(2864874..2865620)	30S ribosomal protein S2
pkt:AT984_12495	CDS	2865941..2867248	hypothetical protein
pkt:AT984_12500	CDS	2867340..2868818	hypothetical protein
pkt:AT984_12505	CDS	complement(2868942..2871272)	ribonuclease R
pkt:AT984_12510	tRNA	2871385..2871469	tRNA-Leu
pkt:AT984_12515	CDS	complement(2871707..2872228)	nicotinate phosphoribosyltransferase
pkt:AT984_12520	CDS	complement(2872264..2873607)	adenylosuccinate synthetase
pkt:AT984_12525	CDS	complement(2873660..2874823)	hisZ; ATP phosphoribosyltransferase regulatory subunit
pkt:AT984_12530	CDS	complement(2874877..2875068)	hypothetical protein
pkt:AT984_12535	CDS	complement(2875083..2875982)	protease modulator HflC
pkt:AT984_12540	CDS	complement(2876003..2877226)	HflK protein
pkt:AT984_12545	gene	complement(2877517..2878605)	pseudogene
pkt:AT984_12550	CDS	complement(2878795..2879040)	RNA chaperone Hfq
pkt:AT984_12555	CDS	complement(2879149..2880489)	ribosome-associated GTPase EngA
pkt:AT984_12560	CDS	complement(2880547..2881665)	outer membrane protein assembly factor BamB
pkt:AT984_12565	CDS	complement(2881698..2882375)	hypothetical protein
pkt:AT984_12570	CDS	complement(2882445..2883761)	histidine--tRNA ligase
pkt:AT984_12575	CDS	complement(2883790..2885085)	ispG; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
pkt:AT984_12580	CDS	complement(2885091..2886104)	hypothetical protein
pkt:AT984_12585	CDS	complement(2886129..2886917)	pilus assembly protein PilW
pkt:AT984_12590	CDS	complement(2887000..2888136)	23S rRNA (adenine(2503)-C2)-methyltransferase
pkt:AT984_12595	CDS	complement(2888204..2888629)	nucleoside-diphosphate kinase
pkt:AT984_12600	CDS	complement(2888747..2890996)	hypothetical protein
pkt:AT984_12605	CDS	complement(2890993..2891742)	segregation and condensation protein B
pkt:AT984_12610	CDS	complement(2891994..2892935)	pseudouridine synthase
pkt:AT984_12615	CDS	2893148..2893948	competence protein ComL
pkt:AT984_12620	CDS	complement(2894043..2896058)	helicase
pkt:AT984_12625	CDS	complement(2896093..2896320)	hypothetical protein
pkt:AT984_12630	CDS	2896421..2897188	serine/threonine protein phosphatase
pkt:AT984_12635	CDS	complement(2897239..2897982)	hypothetical protein
pkt:AT984_12640	CDS	complement(2898030..2899130)	ATPase
pkt:AT984_12645	CDS	complement(2899189..2900610)	dihydrolipoamide dehydrogenase
pkt:AT984_12650	CDS	complement(2900633..2900962)	hypothetical protein
pkt:AT984_12655	CDS	complement(2900979..2902235)	dihydrolipoamide succinyltransferase
pkt:AT984_12660	CDS	complement(2902336..2905191)	sucA; 2-oxoglutarate dehydrogenase subunit E1
