ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_06810c	CDS	complement(641642..642025)	JHP0747 family
ccol:BN865_06820c	CDS	complement(642022..643095)	FIG00470019: hypothetical protein
ccol:BN865_06830	CDS	643177..643998	Thiamine-monophosphate kinase
ccol:BN865_06840	CDS	643967..645085	tRNA pseudouridine 13 synthase
ccol:BN865_06970c	CDS	645440..646759	Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase
ccol:BN865_06960c	CDS	646749..647714	tRNA(Ile)-lysidine synthetase
ccol:BN865_06950	CDS	complement(647697..648407)	Probable integral membrane protein Cj1452
ccol:BN865_06940	CDS	complement(648409..649098)	Dimeric dUTPase
ccol:BN865_06930	CDS	complement(649137..649700)	Putative ATP/GTP-binding protein
ccol:BN865_06920c	CDS	649784..650191	Hypothetical UPF0306 protein Cj1449c
ccol:BN865_06910c	CDS	650261..651043	Capsular polysaccharide ABC transporter, permease protein KpsM
ccol:BN865_06900c	CDS	651040..651702	Capsular polysaccharide ABC transporter, ATP-binding protein KpsT
ccol:BN865_06890c	CDS	651702..652817	Capsular polysaccharide export system inner membrane protein KpsE
ccol:BN865_06880c	CDS	652819..654450	Capsular polysaccharide export system periplasmic protein KpsD
ccol:BN865_06870c	CDS	654472..655425	Capsular polysaccharide export system protein KpsF
ccol:BN865_06860c	CDS	655507..656403	Predicted glycosyltransferase
ccol:BN865_06850c	CDS	656404..658953	Beta-1,3-glucosyltransferase
ccol:BN865_06980	CDS	659068..660165	Peptide chain release factor 2
ccol:BN865_06990	CDS	660212..661621	sialyltransferase CST-I, CAzY family GT42
ccol:BN865_07000	CDS	661622..661837	hypothetical protein
ccol:BN865_07010	CDS	661830..662990	glycosyltransferase, CAzY family GT2
ccol:BN865_07040	CDS	663024..663200	hypothetical protein
ccol:BN865_07050	CDS	663203..664597	Bglycosyltransferase, CAzY family GT2
ccol:BN865_07060	CDS	664617..664793	hypothetical protein
ccol:BN865_07070	CDS	664811..666733	putative glycosyltransferase
ccol:BN865_07080	CDS	666769..667419	hypothetical protein
ccol:BN865_07090	CDS	667416..668087	2-dehydro-3-deoxyglucarate aldolase
ccol:BN865_07100	CDS	668178..669131	D-3-phosphoglycerate dehydrogenase
ccol:BN865_07110	CDS	669124..669999	NAD-dependent epimerase/dehydratase
ccol:BN865_07120	CDS	669996..670670	Putative cyclase superfamily
ccol:BN865_07130	CDS	670670..671158	conserved hypothetical protein 22
ccol:BN865_07140	CDS	671155..671733	hydrolase, haloacid dehalogenase-like family
ccol:BN865_07150	CDS	671730..672803	putative glycosyltransferase
ccol:BN865_07160	CDS	672805..673398	FIG00470714: hypothetical protein
ccol:BN865_07180	CDS	673391..674683	haloacid dehalogenase-like hydrolase domain/phosphoribulokinase domain protein
ccol:BN865_07190	CDS	674680..675411	capsular polysaccharide biosynthesis protein, putative
ccol:BN865_07200	CDS	675408..676901	capsular polysaccharide biosynthesis protein, putative
ccol:BN865_07210	CDS	676942..678969	Capsular polysaccharide biosynthesis/export periplasmic protein WcbA; Capsular polysaccharide export system protein KpsC
ccol:BN865_07230	CDS	678966..680147	Capsular polysaccharide export system protein KpsS
ccol:BN865_07250	CDS	680216..681337	Probable integral membrane protein Cj1412c
ccol:BN865_07260	CDS	681334..682704	Cytochrome P450 family protein
ccol:BN865_07270	CDS	682701..683123	membrane protein
ccol:BN865_07280c	CDS	complement(683126..683473)	Holo-[acyl-carrier protein] synthase
ccol:BN865_07290c	CDS	complement(683473..684009)	Flagellar biosynthesis protein FliL
ccol:BN865_07300	CDS	684121..685491	Phosphomannomutase / Phosphoglucomutase / Phosphoglucosamine mutase
ccol:BN865_07310	CDS	685534..685908	Putative periplasmic protein
ccol:BN865_07320c	CDS	complement(685995..686321)	Iojap protein
ccol:BN865_07330c	CDS	complement(686350..686895)	Nicotinate-nucleotide adenylyltransferase
ccol:BN865_07340	CDS	686958..687956	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase
ccol:BN865_07350	CDS	688123..689157	Phosphoglycerate kinase
ccol:BN865_07360	CDS	689157..689828	Triosephosphate isomerase
ccol:BN865_07370	CDS	689838..690659	Enoyl-[acyl-carrier-protein] reductase [NADH]
ccol:BN865_07400	CDS	690659..692161	hydrogenase, (NiFe)/(NiFeSe) small subunit family
ccol:BN865_07410c	CDS	complement(692158..693999)	Ferrous iron transport protein B
ccol:BN865_07420c	CDS	complement(693996..694220)	Ferrous iron transport protein A, putative
ccol:BN865_07430c	CDS	complement(694299..695639)	MmgE/PrpD family protein, putative
ccol:BN865_07440c	CDS	complement(695648..697015)	Adenylosuccinate lyase
ccol:BN865_07450c	CDS	complement(697025..698188)	Cystathionine beta-lyase
ccol:BN865_07460c	CDS	complement(698200..699639)	Anaerobic C4-dicarboxylate transporter DcuC
ccol:BN865_07480c	CDS	complement(699643..700005)	Endoribonuclease L-PSP
ccol:BN865_07490	CDS	700198..700866	YheO-like PAS domain
ccol:BN865_07500c	CDS	complement(700925..701338)	Ankyrin-repeat containing protein
ccol:BN865_07510c	CDS	complement(701395..702819)	Catalase
ccol:BN865_07520	CDS	703000..703317	FIG00470277: hypothetical protein
ccol:BN865_07540	CDS	703317..704012	FIG00469954: hypothetical protein
ccol:BN865_07550	CDS	704012..704503	Flavodoxin 1
ccol:BN865_07560c	CDS	complement(704626..706287)	Iron-sulfur cluster-binding protein
ccol:BN865_07570	CDS	706357..707679	L-seryl-tRNA(Sec) selenium transferase
ccol:BN865_07580	CDS	707676..709475	Selenocysteine-specific translation elongation factor
ccol:BN865_07590	CDS	709558..710235	Putative periplasmic protein
ccol:BN865_07600	CDS	710235..710762	Putative lipoprotein
ccol:BN865_07610c	CDS	complement(710764..712059)	Putative efflux protein
ccol:BN865_07630	CDS	712271..712876	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific)
ccol:BN865_07640c	CDS	complement(712889..715378)	membrane protein
ccol:BN865_07650c	CDS	complement(715378..715947)	Putative periplasmic protein
ccol:BN865_07660c	CDS	complement(715957..716667)	putative periplasmic protein (vacJ homolog)
ccol:BN865_07680c	CDS	complement(716664..720386)	Putative secreted serine protease, subtilisin MEROPS family S8A
ccol:BN865_07690c	CDS	complement(720434..720874)	Xanthine-guanine phosphoribosyltransferase
ccol:BN865_07700c	CDS	complement(720890..722209)	Guanine-hypoxanthine permease
ccol:BN865_07710c	CDS	complement(722218..723282)	Gene SCO4494, often clustered with other genes in menaquinone via futalosine pathway
ccol:BN865_07730	CDS	723425..725773	[Protein-PII] uridylyltransferase
ccol:BN865_07740	CDS	725777..727573	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]
ccol:BN865_07750	CDS	727708..729099	Fumarate hydratase class II
ccol:BN865_07760c	CDS	complement(729146..730189)	Acid membrane antigen A
ccol:BN865_07770c	CDS	complement(730199..731209)	Holliday junction DNA helicase RuvB
ccol:BN865_07780	CDS	731301..731711	FIG00469648: hypothetical protein
ccol:BN865_07790c	CDS	complement(732076..734160)	Polyphosphate kinase
ccol:BN865_07800	CDS	734343..734834	Cytochrome c nitrite reductase, small subunit NrfH
ccol:BN865_07810	CDS	734850..736682	Cytochrome c552 precursor
ccol:tRNA-Ser-3	tRNA	complement(737062..737149)	tRNA-Ser
ccol:BN865_07820c	CDS	complement(737217..737771)	Putative integral membrane protein
ccol:BN865_07830c	CDS	complement(737935..738924)	Enterochelin uptake periplasmic binding protein
ccol:BN865_07840c	CDS	complement(738939..739694)	Enterochelin uptake ATP-binding protein
ccol:BN865_07850c	CDS	complement(739691..740629)	Enterochelin uptake permease CeuC
ccol:BN865_07860c	CDS	complement(740622..741590)	Enterochelin uptake permease CeuB
ccol:BN865_07870c	CDS	complement(741724..742719)	Phospholipase A1 precursor, ; Outer membrane phospholipase A
ccol:BN865_07880c	CDS	complement(742716..743291)	Molybdopterin-guanine dinucleotide biosynthesis protein MobA
ccol:BN865_07890	CDS	743354..744661	Fibronectin/fibrinogen-binding protein
ccol:BN865_07900	CDS	744664..744999	Putative coiled-coil protein
ccol:BN865_07910	CDS	745008..745736	Phosphatidate cytidylyltransferase
ccol:BN865_07920	CDS	745733..746809	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ccol:BN865_07930	CDS	746806..748200	Putative periplasmic protein
ccol:BN865_07940	CDS	748197..749204	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
ccol:BN865_07950	CDS	749207..749734	Type II secretion envelope pseudopilin protein (PulG,guides folded protein to PulD in outer membrane)
ccol:BN865_07960	CDS	749721..750971	FIG00469623: hypothetical protein
ccol:BN865_07970	CDS	750981..752801	Motility accessory factor
ccol:BN865_07980	CDS	752798..754612	Motility accessory factor
ccol:BN865_07990	CDS	757686..759410	Flagellin
ccol:BN865_08010	CDS	759573..760379	Flagellin
ccol:BN865_08020	CDS	<760393..761313	Flagellin
ccol:BN865_08030c	CDS	complement(761345..763219)	Motility accessory factor
ccol:BN865_08040c	CDS	complement(763244..764014)	Legionaminic acid biosynthesis protein PtmA
ccol:BN865_08050c	CDS	complement(764014..764721)	Legionaminic acid cytidylyltransferase
ccol:BN865_08060c	CDS	complement(764714..765619)	Legionaminic acid biosynthesis protein PtmF
ccol:BN865_08070c	CDS	complement(765616..766647)	D-glycero-D-manno-heptose 1-phosphate guanosyltransferase
ccol:BN865_08090c	CDS	complement(766652..767809)	UDP-N-acetylglucosamine 2-epimerase
ccol:BN865_08100c	CDS	complement(767802..768806)	Legionaminic acid synthase
ccol:BN865_08110c	CDS	complement(768848..769531)	FIG00469667: hypothetical protein
ccol:BN865_08130c	CDS	complement(769542..770663)	Legionaminic acid biosynthesis protein PtmG
ccol:BN865_08140c	CDS	complement(770805..771698)	Methionyl-tRNA formyltransferase
ccol:BN865_08150c	CDS	complement(771692..772849)	Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase
ccol:BN865_08160c	CDS	complement(772842..773813)	dTDP-glucose 4,6-dehydratase
ccol:BN865_08170c	CDS	complement(773810..774952)	Motility accessory factor
ccol:BN865_08180c	CDS	complement(774936..775793)	Motility accessory factor
ccol:BN865_08190c	CDS	complement(775790..776821)	Pseudaminic acid synthase
ccol:BN865_08200	CDS	776969..778105	Pseudaminic acid biosynthesis protein PseA, possible Pse5Ac7Ac acetamidino synthase
ccol:BN865_08210	CDS	778102..778707	Imidazole glycerol phosphate synthase amidotransferase subunit
ccol:BN865_08220	CDS	778708..779454	Imidazole glycerol phosphate synthase cyclase subunit
ccol:BN865_08230c	CDS	complement(779423..779887)	N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid
ccol:BN865_08240c	CDS	complement(779884..780558)	hypothetical protein
ccol:BN865_08250c	CDS	complement(780521..781015)	Methionyl-tRNA formyltransferase-like protein 2
ccol:BN865_08260c	CDS	complement(781238..782059)	UDP-6-deoxy-AltdiNAc hydrolase (PseG, third step of pseudaminic acid biosynthesis)
ccol:BN865_08270c	CDS	complement(782043..782276)	Pseudaminic acid cytidylyltransferase
ccol:BN865_08280c	CDS	complement(782467..782748)	Pseudaminic acid cytidylyltransferase
ccol:BN865_08290	CDS	782845..784059	FIG00469527: hypothetical protein
ccol:BN865_08300	CDS	784081..785151	FIG00470572: hypothetical protein
ccol:BN865_08310c	CDS	complement(785148..785375)	Putative acyl carrier protein
ccol:BN865_08320c	CDS	complement(785414..786922)	Long-chain-fatty-acid--CoA ligase
ccol:BN865_08330c	CDS	complement(786995..787795)	Aminoglycoside N3'-acetyltransferase
ccol:BN865_08340c	CDS	complement(787792..789099)	FIG00604134: hypothetical protein
ccol:BN865_08350c	CDS	complement(789122..790234)	C4 aminotransferase specific for PseB product (PseC, second step of pseudaminic acid biosynthesis)
ccol:BN865_08360c	CDS	complement(790235..791239)	UDP-GlcNAc-specific C4,6 dehydratase/C5 epimerase (PseB, first step of pseudaminic acid biosynthesis)
ccol:BN865_08370c	CDS	complement(791294..791854)	Deoxycytidine triphosphate deaminase
ccol:BN865_08380	CDS	792013..792468	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
ccol:BN865_08390	CDS	792470..793801	Biotin carboxylase of acetyl-CoA carboxylase
ccol:BN865_08400c	CDS	complement(793829..794623)	Possible periplasmic protein
ccol:BN865_08410	CDS	794710..796104	Glutamyl-tRNA synthetase
ccol:BN865_08420	CDS	796101..797336	NADP-dependent malic enzyme
ccol:BN865_08430	CDS	797333..797962	Uracil phosphoribosyltransferase
ccol:BN865_08440	CDS	797964..798635	Menaquinone via futalosine step 1
ccol:BN865_08450c	CDS	complement(798632..799282)	Trk system potassium uptake protein TrkA
ccol:BN865_08460c	CDS	complement(799295..800638)	Potassium uptake protein, integral membrane component, KtrB
ccol:tRNA-Phe	tRNA	800777..800849	tRNA-Phe
ccol:tRNA-Met-2	tRNA	complement(801064..801136)	tRNA-Met
ccol:tRNA-Gln	tRNA	complement(801171..801242)	tRNA-Gln
ccol:BN865_08470	CDS	801348..802367	3,4-dihydroxy-2-butanone 4-phosphate synthase / GTP cyclohydrolase II
ccol:BN865_08480	CDS	802384..802827	Transamidase GatB domain protein
ccol:BN865_08490	CDS	802906..804606	Acetolactate synthase large subunit
ccol:BN865_08500	CDS	804603..805067	Acetolactate synthase small subunit
ccol:BN865_08510	CDS	805064..806017	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
ccol:BN865_08520c	CDS	complement(806020..807045)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
ccol:BN865_08530c	CDS	complement(807042..807788)	Twin-arginine translocation protein TatC
ccol:BN865_08540c	CDS	complement(807789..808193)	Twin-arginine translocation protein TatB
ccol:BN865_08550c	CDS	complement(808256..809323)	Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent, in heat shock gene cluster
ccol:BN865_08560	CDS	809418..809888	Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase
ccol:BN865_08570	CDS	809888..811090	Aspartokinase
ccol:BN865_08580	CDS	811091..811624	FIG00388669: hypothetical protein
ccol:BN865_08590	CDS	811624..812235	DNA poymerase III subunit delta'
ccol:BN865_08600	CDS	812232..813374	Alternative dihydrofolate reductase 2 / Dihydropteroate synthase
ccol:BN865_08610	CDS	813375..815318	DNA ligase
ccol:BN865_08620	CDS	815308..816303	membrane protein
ccol:BN865_08630	CDS	816300..817049	RNA binding methyltransferase FtsJ like
ccol:BN865_08640	CDS	817018..817854	Riboflavin kinase / FMN adenylyltransferase
ccol:BN865_08650	CDS	817858..818562	tRNA (uridine-5-oxyacetic acid methyl ester) 34 synthase
ccol:BN865_08660c	CDS	complement(818566..818784)	Putative lipoprotein
ccol:BN865_08670c	CDS	complement(818863..819495)	membrane protein
ccol:BN865_08680c	CDS	complement(819505..820155)	DNA/RNA non-specific endonuclease
ccol:BN865_08690c	CDS	complement(820152..820778)	Endonuclease III
ccol:BN865_08700	CDS	820863..821684	Cell binding factor 2 precursor
ccol:BN865_08710	CDS	821684..822748	Fructose-bisphosphate aldolase class II
ccol:BN865_08720	CDS	822847..824301	membrane protein
ccol:BN865_08730	CDS	824298..825248	Putative periplasmic protein
ccol:BN865_08740	CDS	825258..826127	1-aminocyclopropane-1-carboxylate deaminase
ccol:BN865_08750c	CDS	complement(826129..826584)	Low molecular weight protein tyrosine phosphatase
ccol:BN865_08760	CDS	826695..827822	Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)
ccol:BN865_08770	CDS	827843..828499	membrane protein
ccol:BN865_08780c	CDS	complement(828496..828705)	Putative isomerase
ccol:BN865_08790c	CDS	complement(828787..829269)	G:T/U mismatch-specific uracil/thymine DNA-glycosylase
ccol:BN865_08800c	CDS	complement(829266..831482)	Polyribonucleotide nucleotidyltransferase
ccol:BN865_08810c	CDS	complement(831499..833547)	Outer membrane protein Imp, required for envelope biogenesis / Organic solvent tolerance protein precursor
ccol:BN865_08820c	CDS	complement(833537..833989)	FIG00387922: hypothetical protein
ccol:BN865_08830c	CDS	complement(833986..835236)	Phosphoribosylamine--glycine ligase
ccol:BN865_08840c	CDS	complement(835477..836937)	FIG00469607: hypothetical protein
ccol:BN865_08850c	CDS	complement(837180..838715)	GMP synthase [glutamine-hydrolyzing], amidotransferase subunit / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit
ccol:BN865_08860	CDS	838853..839329	FIG00469585: hypothetical protein
ccol:BN865_08870	CDS	839322..841136	Excinuclease ABC subunit C
ccol:BN865_08880	CDS	841138..842331	membrane protein
ccol:BN865_08890c	CDS	complement(842328..843230)	Putative Fe-S oxidoreductase
ccol:BN865_08900c	CDS	complement(843227..844249)	Uroporphyrinogen III decarboxylase
ccol:BN865_08910c	CDS	complement(844403..844714)	FIG00469756: hypothetical protein
ccol:BN865_08920	CDS	844894..845502	FIG00469769: hypothetical protein
ccol:BN865_08930c	CDS	complement(845486..846586)	4-hydroxythreonine-4-phosphate dehydrogenase
ccol:BN865_08940c	CDS	complement(846583..847356)	Pyridoxine 5'-phosphate synthase
ccol:BN865_08950	CDS	847413..848378	Possible phosphatase
ccol:BN865_08960c	CDS	complement(848452..849402)	COG1565: Uncharacterized conserved protein
ccol:BN865_08970c	CDS	complement(849399..850220)	Membrane protein related to metalloendopeptidases
ccol:BN865_08980c	CDS	complement(850217..852211)	Glycyl-tRNA synthetase beta chain
ccol:BN865_08990c	CDS	complement(852265..852885)	Predicted phosphatase
ccol:BN865_09000c	CDS	complement(852878..853210)	FIG00469465: hypothetical protein
ccol:BN865_09010c	CDS	complement(853220..854842)	Glutathione-regulated potassium-efflux system protein KefB
ccol:BN865_09020c	CDS	complement(854843..855217)	HspR, transcriptional repressor of DnaK operon
ccol:BN865_09030c	CDS	complement(855233..856129)	DnaJ-class molecular chaperone CbpA
ccol:BN865_09040	CDS	856334..857752	HtrA protease/chaperone protein / Serine protease (Protease DO)
ccol:BN865_09050	CDS	857835..858509	Putative two-component regulator
ccol:BN865_09060	CDS	858506..859756	Putative two-component sensor
ccol:tRNA-Asn	tRNA	859836..859907	tRNA-Asn
ccol:BN865_09070c	CDS	complement(860196..860561)	Ribbon-helix-helix protein, copG family domain protein
ccol:BN865_09080c	CDS	complement(860575..861171)	Hemerythrin-like iron-binding protein
ccol:BN865_09090	CDS	861321..861986	Two-component system response regulator DccR
ccol:BN865_09100	CDS	861979..863184	Two-component system histidine kinase DccS
ccol:BN865_09110c	CDS	complement(863274..864911)	Heat shock protein 60 family chaperone GroEL
ccol:BN865_09120c	CDS	complement(864933..865193)	Heat shock protein 60 family co-chaperone GroES
ccol:BN865_09130	CDS	865357..867897	FIG00472540: hypothetical protein
ccol:BN865_09140	CDS	867907..868518	Riboflavin synthase eubacterial/eukaryotic
ccol:BN865_09150	CDS	868482..869162	COG1496: Uncharacterized conserved protein
ccol:BN865_09160	CDS	869165..869371	FIG00469930: hypothetical protein
ccol:BN865_09170c	CDS	complement(869368..870528)	Membrane proteins related to metalloendopeptidases
ccol:BN865_09180	CDS	870654..871379	FIG00469741: hypothetical protein
ccol:BN865_09190	CDS	871379..872761	(S)-2-hydroxy-acid oxidase
ccol:BN865_09195	CDS	<872758..873579	ribonuclease BN, putative
ccol:BN865_09200c	CDS	complement(873523..874782)	Competence protein
ccol:BN865_09210c	CDS	complement(874782..875339)	membrane protein
ccol:BN865_09220c	CDS	complement(875349..876578)	Hydrolase (HAD superfamily)
ccol:BN865_09230c	CDS	complement(876824..877450)	5-formyltetrahydrofolate cyclo-ligase
ccol:BN865_09240	CDS	877532..878089	Putative lipoprotein thiredoxin
ccol:BN865_09250	CDS	878089..878955	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
ccol:BN865_09270	CDS	879074..880414	DNA repair protein RadA
ccol:BN865_09280	CDS	880568..881248	ATP synthase A chain
ccol:BN865_09290	CDS	881245..881445	membrane protein
ccol:BN865_09300c	CDS	complement(881450..882298)	5,10-methylenetetrahydrofolate reductase
ccol:BN865_09310c	CDS	complement(882308..884572)	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
ccol:BN865_09320c	CDS	complement(884887..885381)	S-ribosylhomocysteine lyase / Autoinducer-2 production protein LuxS
ccol:BN865_09330	CDS	885498..886916	Aspartyl-tRNA(Asn) amidotransferase subunit B @ Glutamyl-tRNA(Gln) amidotransferase subunit B
ccol:BN865_09350	CDS	886916..887815	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
ccol:BN865_09360	CDS	887824..889005	Amidohydrolase
ccol:BN865_09370c	CDS	complement(889008..890534)	Probable low-affinity inorganic phosphate transporter
ccol:BN865_09380	CDS	890679..891485	Putative periplasmic protein
ccol:BN865_09390c	CDS	complement(891482..892858)	Putative C4-dicarboxylate transport protein
ccol:BN865_09400	CDS	893117..893611	Signal transduction protein CetB, mediates an energy taxis response
ccol:BN865_09410	CDS	893731..895107	Signal transduction protein CetA, mediates an energy taxis response
ccol:BN865_09420	CDS	895118..895612	Signal transduction protein CetB, mediates an energy taxis response
ccol:BN865_09430	CDS	895693..897552	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
ccol:BN865_09440	CDS	897552..898820	Arsenic efflux pump protein
ccol:BN865_09450	CDS	898908..899411	Ubiquinol-cytochrome C reductase iron-sulfur subunit
ccol:BN865_09460	CDS	899413..900660	Ubiquinol--cytochrome c reductase, cytochrome B subunit
ccol:BN865_09480	CDS	900660..901784	ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit
ccol:BN865_09490	CDS	902115..902906	SSU ribosomal protein S2p (SAe)
ccol:BN865_09500	CDS	902906..903979	Translation elongation factor Ts
ccol:BN865_09510	CDS	903989..904624	Putative ABC transporter ATP binding protein
ccol:BN865_09520	CDS	904611..905378	Flagellar biosynthesis protein FliR
ccol:BN865_09530	CDS	905434..906969	Highly acidic protein
ccol:BN865_09540	CDS	906966..907583	Guanylate kinase
ccol:BN865_09550	CDS	907585..907830	Twin-arginine translocation protein TatA
ccol:BN865_09560	CDS	907841..909433	Arginyl-tRNA synthetase
ccol:BN865_09570c	CDS	complement(909452..909760)	Spermidine export protein MdtI
ccol:BN865_09580c	CDS	complement(909761..910102)	Spermidine export protein MdtJ
ccol:BN865_09590	CDS	910263..910916	FIG000859: hypothetical protein YebC
ccol:BN865_09600	CDS	910926..911408	Peptidyl-prolyl cis-trans isomerase
ccol:BN865_09610	CDS	911573..912178	putative integral membrane protein (dedA homolog)
ccol:BN865_09620c	CDS	complement(912175..913098)	L-lactate dehydrogenase
ccol:BN865_09630	CDS	913163..913939	membrane protein
ccol:BN865_09640	CDS	913936..914430	membrane protein
ccol:BN865_09650	CDS	914488..914757	FIG00469836: hypothetical protein
ccol:BN865_09660	CDS	914832..915779	Cobalt-zinc-cadmium resistance protein CzcD
ccol:BN865_09670	CDS	915769..915972	Hypothetical protein Cj1162c
ccol:BN865_09680	CDS	915972..918095	Lead, cadmium, zinc and mercury transporting ATPase; Copper-translocating P-type ATPase
ccol:BN865_09690c	CDS	complement(918107..919663)	DNA polymerase III subunits gamma and tau
ccol:BN865_09700c	CDS	complement(919666..920964)	Transcription termination factor Rho
ccol:BN865_09710	CDS	921083..923440	Lead, cadmium, zinc and mercury transporting ATPase; Copper-translocating P-type ATPase
ccol:BN865_09720	CDS	923433..923633	Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion
ccol:BN865_09730c	CDS	complement(923663..923962)	Cytochrome C553 (soluble cytochrome f)
ccol:BN865_09740	CDS	924080..924598	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase
ccol:BN865_09750	CDS	924599..925552	ADP-L-glycero-D-manno-heptose-6-epimerase
ccol:BN865_09760	CDS	925545..926930	ADP-heptose synthase / D-glycero-beta-D-manno-heptose 7-phosphate kinase
ccol:BN865_09770	CDS	926927..927487	Phosphoheptose isomerase 1
ccol:BN865_09780	CDS	927487..928248	Beta-1,4-galactosyltransferase, CAzY family GT25
ccol:BN865_09790c	CDS	complement(928240..929379)	hypothetical protein
ccol:BN865_09800c	CDS	complement(929428..930186)	hypothetical protein
ccol:BN865_09810c	CDS	complement(930176..930322)	hypothetical protein
ccol:BN865_09820c	CDS	complement(930476..931975)	Probable poly(beta-D-mannuronate) O-acetylase
ccol:BN865_09840c	CDS	complement(932014..932958)	ADP-heptose--lipooligosaccharide heptosyltransferase II, CAzY family GT9
ccol:BN865_09850	CDS	933018..933833	glycosyltransferase, CAzY family GT2
ccol:BN865_09860c	CDS	complement(933884..934963)	putative glycosyltransferase
ccol:BN865_09870c	CDS	complement(934935..935639)	N-acylneuraminate cytidylyltransferase
ccol:BN865_09880c	CDS	complement(935636..936751)	UDP-N-acetylglucosamine 2-epimerase
ccol:BN865_09890c	CDS	complement(936748..937791)	N-acetylneuraminate synthase
ccol:BN865_09900c	CDS	complement(937793..938689)	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase, CST-V, CAzY family GT42
ccol:BN865_09910c	CDS	complement(938698..939759)	Glycosyltransferase, CAzY family GT4
ccol:BN865_09930c	CDS	complement(939746..940519)	Putative two-domain glycosyltransferase, CAzY family GT2
ccol:BN865_09940c	CDS	complement(940516..941403)	Lipid A biosynthesis lauroyl acyltransferase
ccol:BN865_09950c	CDS	complement(941396..942424)	Lipopolysaccharide heptosyltransferase I, CAzY family GT9
ccol:BN865_09960	CDS	942491..943282	Polysaccharide biosynthesis protein WlaX
ccol:BN865_09970	CDS	943339..944325	UDP-glucose 4-epimerase
ccol:BN865_09980	CDS	944434..946020	Phospholipid-lipopolysaccharide ABC transporter
ccol:BN865_09990	CDS	946017..947093	Alpha-1,4-N-acetylgalactosamine transferase PglH, CAzY family GT4
ccol:BN865_10000	CDS	947086..948015	Glycosyltransferase PglI, CAzY family GT2
ccol:BN865_10010	CDS	948003..949100	Alpha-1,4-N-acetylgalactosamine transferase PglJ, CAzY family GT4
ccol:BN865_10020	CDS	949104..951239	Oligosaccharyltransferase PglB
ccol:BN865_10030	CDS	951252..952382	Alpha-1,3-N-acetylgalactosamine transferase PglA, CAzY family GT4
ccol:BN865_10040	CDS	952375..952977	UDP-N-acetylgalactosaminyltransferase, CAzY family GT4
ccol:BN865_10060	CDS	952964..953551	4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase
ccol:BN865_10070	CDS	953704..954864	4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase
ccol:BN865_10080	CDS	954867..956639	UDP-N-acetylglucosamine 4,6-dehydratase
ccol:BN865_10090	CDS	956864..957250	Chemotaxis regulator-transmits chemoreceptor signals to flagelllar motor components CheY
ccol:BN865_10100	CDS	957263..958120	Ribosomal protein L11 methyltransferase
ccol:BN865_10110	CDS	958110..959981	Cell division protein FtsH
ccol:BN865_10120	CDS	960057..960671	Phosphatidylserine decarboxylase-related protein
ccol:BN865_10130	CDS	960681..961403	CDP-diacylglycerol--serine O-phosphatidyltransferase
ccol:BN865_10140c	CDS	complement(961400..962197)	COG2833: uncharacterized protein
ccol:BN865_10150	CDS	962371..962727	Peptide methionine sulfoxide reductase MsrB
ccol:BN865_10160	CDS	962732..963370	Multiple antibiotic resistance protein marC
ccol:BN865_10170	CDS	963443..964732	Putative MCP-type signal transduction protein
ccol:BN865_10180c	CDS	complement(964795..965400)	Leucyl/phenylalanyl-tRNA--protein transferase
ccol:BN865_10200c	CDS	complement(965375..967492)	ATP-dependent Clp protease ATP-binding subunit ClpA
ccol:BN865_10210c	CDS	complement(967489..967779)	ATP-dependent Clp protease adaptor protein ClpS
ccol:BN865_10220c	CDS	complement(967779..968348)	Possible periplasmic thioredoxin
