arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_30570	CDS	2162995..2163198	formimidoylglutamase
arh:AHiyo8_30580	CDS	2163195..2163428	formimidoylglutamase
arh:AHiyo8_30590	CDS	2163392..2163808	formimidoylglutamase
arh:AHiyo8_30600	CDS	complement(2163735..2164196)	conserved hypothetical protein
arh:AHiyo8_30610	CDS	complement(2164233..2164610)	conserved hypothetical protein
arh:AHiyo8_30620	CDS	complement(2164607..2164966)	conserved hypothetical protein
arh:AHiyo8_30630	CDS	complement(2165486..2165578)	hypothetical protein
arh:AHiyo8_30640	CDS	complement(2165709..2166803)	alpha-L-Rhamnosidase
arh:AHiyo8_30650	CDS	complement(2166787..2167752)	alpha-L-Rhamnosidase
arh:AHiyo8_30660	CDS	complement(2167988..2168533)	alpha-L-Rhamnosidase
arh:AHiyo8_30670	CDS	complement(2168578..2169261)	xylosidase
arh:AHiyo8_30680	CDS	complement(2169311..2170105)	beta-xylosidase
arh:AHiyo8_30690	CDS	complement(2170102..2170242)	beta-Glucosidase
arh:AHiyo8_30700	CDS	complement(2170748..2171335)	beta-Glucosidase
arh:AHiyo8_30710	CDS	complement(2171338..2171619)	beta-glucosidase
arh:AHiyo8_30720	CDS	complement(2171604..2172254)	beta-glucosidase
arh:AHiyo8_30730	CDS	complement(2172604..2174034)	beta-glucosidase A
arh:AHiyo8_30740	CDS	complement(2174088..2174672)	oligopeptide transport ATP-binding protein OppF
arh:AHiyo8_30750	CDS	complement(2174943..2175758)	putative peptide import ATP-binding protein BRA0405/BS1330_II0402
arh:AHiyo8_30760	CDS	complement(2175752..2176522)	dipeptide transport system permease protein DppC
arh:AHiyo8_30770	CDS	2176715..2176828	hypothetical protein
arh:AHiyo8_30780	CDS	complement(2176803..2176907)	hypothetical protein
arh:AHiyo8_30790	CDS	complement(2176901..2177743)	probable peptide ABC transporter permease protein y4tP
arh:AHiyo8_30800	CDS	complement(2177831..2178040)	hypothetical protein
arh:AHiyo8_30810	CDS	complement(2178028..2178258)	hypothetical protein
arh:AHiyo8_30820	CDS	complement(2178285..2178440)	hypothetical protein
arh:AHiyo8_30830	CDS	complement(2178404..2178700)	hypothetical protein
arh:AHiyo8_30840	CDS	complement(2178646..2178951)	glutathione-binding protein GsiB
arh:AHiyo8_30850	CDS	complement(2178939..2179349)	nickel-binding periplasmic protein
arh:AHiyo8_30860	CDS	2179535..2179981	HTH-type transcriptional regulator UidR
arh:AHiyo8_30870	CDS	2179975..2180169	transcriptional regulator TetR protein
arh:AHiyo8_30880	CDS	complement(2180255..2180431)	short-Chain dehydrogenase/reductase
arh:AHiyo8_30890	CDS	complement(2180404..2181009)	short-chain dehydrogenase reductase 5
arh:AHiyo8_30900	CDS	complement(2181028..2182761)	conserved hypothetical protein
arh:AHiyo8_t00120	tRNA	complement(2182974..2183044)	tRNA-Cys
arh:AHiyo8_30910	CDS	complement(2183158..2183826)	HTH-type transcriptional regulator LutR
arh:AHiyo8_30920	CDS	2184077..2185444	putative tartrate transporter
arh:AHiyo8_30930	CDS	2185626..2186975	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
arh:AHiyo8_30940	CDS	2186966..2187379	putative kinase MCAP_0235
arh:AHiyo8_30950	CDS	2187376..2187846	putative ribose 5-phosphate isomerase
arh:AHiyo8_30960	CDS	2187830..2188651	triosephosphate isomerase 2
arh:AHiyo8_30970	CDS	2188648..2188941	conserved hypothetical protein
arh:AHiyo8_30980	CDS	2188947..2189174	conserved hypothetical protein
arh:AHiyo8_30990	CDS	2189159..2189446	conserved hypothetical protein
arh:AHiyo8_31000	CDS	2189448..2190308	ketol-acid reductoisomerase
arh:AHiyo8_31010	CDS	2190486..2191367	NAD-specific glutamate dehydrogenase
arh:AHiyo8_31020	CDS	2191961..2194000	NAD-specific glutamate dehydrogenase
arh:AHiyo8_31030	CDS	2194144..2195373	NAD-specific glutamate dehydrogenase
arh:AHiyo8_31040	CDS	2195472..2195693	hypothetical protein
arh:AHiyo8_31050	CDS	complement(2195812..2196060)	hypothetical protein
arh:AHiyo8_31060	CDS	complement(2196254..2196394)	histidine ammonia-lyase
arh:AHiyo8_31070	CDS	complement(2196391..2196801)	histidine ammonia-lyase
arh:AHiyo8_31080	CDS	complement(2196908..2197843)	histidine ammonia-lyase
arh:AHiyo8_31090	CDS	complement(2197854..2198051)	urocanate hydratase
arh:AHiyo8_31100	CDS	2198197..2198484	hypothetical protein
arh:AHiyo8_31110	CDS	2198720..2199139	hypothetical protein
arh:AHiyo8_31120	CDS	complement(2198977..2199588)	urocanate hydratase
arh:AHiyo8_31130	CDS	complement(2199812..2200321)	probable transcriptional regulator SauR
arh:AHiyo8_31140	CDS	2200901..2201134	proline-specific permease ProY
arh:AHiyo8_31150	CDS	2201128..2201748	proline-specific permease ProY
arh:AHiyo8_31160	CDS	2201745..2202038	proline-specific permease ProY
arh:AHiyo8_31170	CDS	2202035..2202376	proline-specific permease ProY
arh:AHiyo8_31180	CDS	2202455..2203042	uncharacterized membrane protein YrhP
arh:AHiyo8_31190	CDS	complement(2203118..2203420)	hypothetical protein
arh:AHiyo8_31200	CDS	2204023..2204307	hypothetical protein
arh:AHiyo8_31210	CDS	2204304..2204531	putative DNA-binding protein Rv0500A/MT0521
arh:AHiyo8_31220	CDS	complement(2204509..2205249)	ribose operon repressor
arh:AHiyo8_31230	CDS	complement(2205636..2205887)	probable ABC transporter permease protein YurM
arh:AHiyo8_31240	CDS	complement(2205914..2206123)	putative ABC transporter permease protein ORF2
arh:AHiyo8_31250	CDS	complement(2206135..2206431)	putative ABC transporter permease protein AmyC
arh:AHiyo8_31260	CDS	complement(2206552..2207433)	probable ABC transporter permease protein YurN
arh:AHiyo8_31270	CDS	complement(2207479..2208639)	uncharacterized ABC transporter extracellular-binding protein PH1039
arh:AHiyo8_31280	CDS	complement(2208636..2208812)	hypothetical protein
arh:AHiyo8_31290	CDS	complement(2208859..2210157)	beta-fructosidase
arh:AHiyo8_31300	CDS	complement(2210154..2210294)	glycosyl hydrolase family 32 domain protein
arh:AHiyo8_31310	CDS	complement(2210461..2211603)	probable diguanylate cyclase AdrA
arh:AHiyo8_31320	CDS	complement(2211649..2212434)	D-beta-hydroxybutyrate dehydrogenase
arh:AHiyo8_31330	CDS	complement(2212388..2213326)	inner membrane metabolite transport protein YhjE
arh:AHiyo8_31340	CDS	complement(2213457..2213810)	inner membrane metabolite transport protein YhjE
arh:AHiyo8_31350	CDS	2213853..2214788	HTH-type transcriptional activator TtdR
arh:AHiyo8_31360	CDS	complement(2214907..2215797)	spermidine synthase
arh:AHiyo8_31370	CDS	complement(2215884..2216111)	acetyltransferase
arh:AHiyo8_31380	CDS	complement(2216108..2216386)	acetyltransferase
arh:AHiyo8_31390	CDS	complement(2216402..2216893)	caffeoyl-CoA O-methyltransferase 2
arh:AHiyo8_31400	CDS	complement(2217141..2218181)	heme binding protein
arh:AHiyo8_31410	CDS	complement(2218508..2218831)	UPF0045 protein Mb1933
arh:AHiyo8_31420	CDS	2218902..2219522	hypothetical protein
arh:AHiyo8_31430	CDS	complement(2219577..2219888)	conserved hypothetical protein
arh:AHiyo8_31440	CDS	complement(2219885..2220667)	branched-Chain amino acid permease
arh:AHiyo8_31450	CDS	complement(2220634..2221071)	hypothetical protein
arh:AHiyo8_31460	CDS	2221218..2222030	uncharacterized protein AF_2225
arh:AHiyo8_31470	CDS	complement(2222100..2223023)	probable glycerophosphoryl diester phosphodiesterase 1
arh:AHiyo8_31480	CDS	2223050..2224411	uncharacterized protein YjiN
arh:AHiyo8_31490	CDS	complement(2224529..2225326)	kipI antagonist
arh:AHiyo8_31500	CDS	complement(2225326..2226045)	uncharacterized protein YbgJ
arh:AHiyo8_31510	CDS	complement(2226136..2226705)	UPF0271 protein ACICU_01267
arh:AHiyo8_31520	CDS	complement(2226689..2227492)	conserved hypothetical protein
arh:AHiyo8_31530	CDS	2227625..2227771	hypothetical protein
arh:AHiyo8_31540	CDS	2227805..2228518	DNA alkylation repair enzyme
arh:AHiyo8_31550	CDS	2228810..2229343	uncharacterized UDP-glucosyltransferase YjiC
arh:AHiyo8_31560	CDS	2229313..2229840	uncharacterized UDP-glucosyltransferase YojK
arh:AHiyo8_31570	CDS	2230095..2231336	conserved hypothetical protein
arh:AHiyo8_31580	CDS	complement(2231399..2231788)	resolvase
arh:AHiyo8_31590	CDS	complement(2232076..2232471)	hypothetical protein
arh:AHiyo8_31600	CDS	complement(2232471..2232947)	hypothetical protein
arh:AHiyo8_31610	CDS	complement(2233073..2235427)	hypothetical protein
arh:AHiyo8_31620	CDS	complement(2235496..2237886)	alpha,alpha-trehalose phosphorylase
arh:AHiyo8_31630	CDS	complement(2237927..2238664)	uncharacterized protein ML0393
arh:AHiyo8_31640	CDS	complement(2238682..2239710)	HTH-type transcriptional repressor PurR
arh:AHiyo8_31650	CDS	complement(2239847..2240464)	hypothetical protein
arh:AHiyo8_31660	CDS	complement(2240539..2241279)	uncharacterized protein YJL213W
arh:AHiyo8_31670	CDS	complement(2241414..2241752)	adenine deaminase
arh:AHiyo8_31680	CDS	complement(2241770..2242225)	conserved hypothetical protein
arh:AHiyo8_31690	CDS	complement(2242200..2243756)	hypothetical protein
arh:AHiyo8_31700	CDS	complement(2243749..2244831)	conserved hypothetical protein
arh:AHiyo8_31710	CDS	complement(2244828..2245094)	hypothetical protein
arh:AHiyo8_31720	CDS	complement(2245152..2245808)	hypothetical protein
arh:AHiyo8_31730	CDS	complement(2245811..2246176)	hypothetical protein
arh:AHiyo8_31740	CDS	complement(2246259..2247068)	ribose transport system permease protein RbsC
arh:AHiyo8_31750	CDS	complement(2247251..2248627)	ribose import ATP-binding protein RbsA
arh:AHiyo8_31760	CDS	complement(2248919..2249914)	hypothetical protein
arh:AHiyo8_31770	CDS	complement(2249938..2250141)	5-Oxoprolinase
arh:AHiyo8_31780	CDS	complement(2250116..2251609)	hydantoin utilization protein B
arh:AHiyo8_31790	CDS	complement(2251652..2252071)	uncharacterized protein MJ0964
arh:AHiyo8_31800	CDS	complement(2252013..2253668)	uncharacterized protein MJ0964
arh:AHiyo8_31810	CDS	2253986..2254417	activator of HSP90 ATPase 1 family protein
arh:AHiyo8_31820	CDS	complement(2254427..2255155)	hypothetical protein
arh:AHiyo8_31830	CDS	2255417..2255809	hypothetical protein
arh:AHiyo8_31840	CDS	2255882..2256073	hypothetical protein
arh:AHiyo8_31850	CDS	2256257..2256556	uncharacterized HTH-type transcriptional regulator YdjF
arh:AHiyo8_31860	CDS	2256658..2257068	HTH-type transcriptional repressor GlcR
arh:AHiyo8_31870	CDS	2257065..2257334	1-Phosphofructokinase
arh:AHiyo8_31880	CDS	2257331..2258056	1-phosphofructokinase
arh:AHiyo8_31890	CDS	2258059..2258274	hypothetical protein
arh:AHiyo8_31900	CDS	complement(2258262..2258522)	hypothetical protein
arh:AHiyo8_31910	CDS	2258645..2260108	PTS system fructose-specific EIIBBC component
arh:AHiyo8_31920	CDS	2260142..2260678	phosphoenolpyruvate-protein phosphotransferase
arh:AHiyo8_31930	CDS	2260675..2261118	phosphoenolpyruvate-protein phosphotransferase
arh:AHiyo8_31940	CDS	2261118..2261312	phosphoenolpyruvate-protein phosphotransferase
arh:AHiyo8_31950	CDS	2261309..2261848	phosphoenolpyruvate-protein phosphotransferase
arh:AHiyo8_31960	CDS	2261882..2262127	phosphocarrier protein HPr
arh:AHiyo8_31970	CDS	complement(2262269..2262835)	DNA topoisomerase 1B
arh:AHiyo8_31980	CDS	complement(2263246..2263725)	fine tangled pili major subunit
arh:AHiyo8_31990	CDS	2264056..2264226	hypothetical protein
arh:AHiyo8_32000	CDS	2264323..2264499	UPF0337 protein CE1672
arh:AHiyo8_32010	CDS	2264566..2264994	hypothetical protein
arh:AHiyo8_32020	CDS	complement(2265370..2266098)	probable DNA repair protein Lxx15680
arh:AHiyo8_32030	CDS	2266298..2267311	putative DNA ligase-like protein Mb0963
arh:AHiyo8_32040	CDS	2267517..2268932	putative DNA ligase-like protein Mb0963
arh:AHiyo8_32050	CDS	complement(2268966..2269226)	hypothetical protein
arh:AHiyo8_32060	CDS	complement(2269299..2269526)	hypothetical protein
arh:AHiyo8_32070	CDS	2270055..2270342	release factor glutamine methyltransferase
arh:AHiyo8_32080	CDS	2270342..2270647	release factor glutamine methyltransferase
arh:AHiyo8_32090	CDS	2270901..2271302	proline/betaine transporter
arh:AHiyo8_32100	CDS	2271278..2272027	proline/betaine transporter
arh:AHiyo8_32110	CDS	2272000..2272449	proline/betaine transporter
arh:AHiyo8_32120	CDS	complement(2272598..2273122)	hypothetical protein
arh:AHiyo8_32130	CDS	2273273..2274010	alkaline phosphatase synthesis transcriptional regulatory protein PhoP
arh:AHiyo8_32140	CDS	2274007..2275419	alkaline phosphatase synthesis sensor protein PhoR
arh:AHiyo8_32150	CDS	2275383..2275784	uncharacterized protein YqjT
arh:AHiyo8_32160	CDS	complement(2275757..2276233)	hypothetical protein
arh:AHiyo8_32170	CDS	2276488..2278056	hypothetical protein
arh:AHiyo8_32180	CDS	complement(2278049..2278441)	hypothetical protein
arh:AHiyo8_32190	CDS	complement(2278453..2279154)	hypothetical protein
arh:AHiyo8_32200	CDS	complement(2279124..2279324)	hypothetical protein
arh:AHiyo8_32210	CDS	complement(2279437..2279676)	hypothetical protein
arh:AHiyo8_32220	CDS	complement(2279727..2280689)	acyltransferase MdmB
arh:AHiyo8_32230	CDS	complement(2280805..2281278)	ATP-dependent Clp protease ATP-binding subunit ClpC1
arh:AHiyo8_32240	CDS	complement(2281519..2281905)	acetyltransferase
arh:AHiyo8_32250	CDS	complement(2281946..2282059)	hypothetical protein
arh:AHiyo8_32260	CDS	complement(2282056..2282511)	conserved hypothetical protein
arh:AHiyo8_32270	CDS	2282866..2283609	protein involved in response to aluminum ion
arh:AHiyo8_32280	CDS	2283606..2283863	protein involved in response to aluminum ion
arh:AHiyo8_32290	CDS	complement(2283811..2284215)	3-oxoacyl-[acyl-carrier-protein] reductase 1
arh:AHiyo8_32300	CDS	complement(2284215..2284604)	uncharacterized oxidoreductase YqjQ
arh:AHiyo8_32310	CDS	2284775..2285011	hypothetical protein
arh:AHiyo8_32320	CDS	2284990..2285112	hypothetical protein
arh:AHiyo8_32330	CDS	2285085..2285201	hypothetical protein
arh:AHiyo8_32340	CDS	complement(2285321..2285677)	hypothetical protein
arh:AHiyo8_32350	CDS	complement(2285674..2286015)	conserved hypothetical protein
arh:AHiyo8_32360	CDS	complement(2285967..2286317)	hypothetical protein
arh:AHiyo8_32370	CDS	complement(2286320..2287018)	hypothetical protein
arh:AHiyo8_32380	CDS	complement(2287519..2288208)	peptidase M20 domain-containing protein 2
arh:AHiyo8_32390	CDS	complement(2288311..2289306)	hypothetical protein
arh:AHiyo8_32400	CDS	2289433..2289678	hypothetical protein
arh:AHiyo8_32410	CDS	2289703..2290023	hypothetical protein
arh:AHiyo8_32420	CDS	2290073..2290807	uncharacterized HTH-type transcriptional regulator PH0140
arh:AHiyo8_32430	CDS	2290770..2291072	hypothetical protein
arh:AHiyo8_32440	CDS	2291278..2294169	biodegradative arginine decarboxylase
arh:AHiyo8_32450	CDS	complement(2294306..2294698)	conserved hypothetical protein
arh:AHiyo8_32460	CDS	complement(2294764..2295639)	D-tagatose-1,6-bisphosphate aldolase subunit GatY
arh:AHiyo8_32470	CDS	complement(2295639..2296979)	inner membrane permease YgbN
arh:AHiyo8_32480	CDS	complement(2297212..2297700)	uncharacterized oxidoreductase YgbJ
arh:AHiyo8_32490	CDS	complement(2297703..2298056)	uncharacterized oxidoreductase YgbJ
arh:AHiyo8_32500	CDS	complement(2298155..2299399)	conserved hypothetical protein
arh:AHiyo8_32510	CDS	2299859..2300578	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
arh:AHiyo8_32520	CDS	2300607..2301455	uncharacterized HTH-type transcriptional regulator YieP
arh:AHiyo8_32530	CDS	2301695..2302015	hypothetical protein
arh:AHiyo8_32540	CDS	complement(2301879..2302457)	homocysteine S-methyltransferase
arh:AHiyo8_32550	CDS	2302620..2303057	conserved hypothetical protein
arh:AHiyo8_32560	CDS	2303054..2303569	conserved hypothetical protein
arh:AHiyo8_32570	CDS	2303664..2303804	conserved hypothetical protein
arh:AHiyo8_32580	CDS	2303837..2304445	hypothetical protein
arh:AHiyo8_32590	CDS	2304409..2304612	hypothetical protein
arh:AHiyo8_32600	CDS	complement(2304609..2305409)	pca regulon regulatory protein
arh:AHiyo8_32610	CDS	complement(2305447..2305683)	lysine/arginine racemase
arh:AHiyo8_32620	CDS	complement(2306066..2306713)	probable S-methylmethionine permease
arh:AHiyo8_32630	CDS	complement(2306674..2307393)	uncharacterized amino acid permease YbgF
arh:AHiyo8_32640	CDS	2307711..2309285	homoserine dehydrogenase
arh:AHiyo8_32650	CDS	2309261..2310133	putative aldehyde-dehydrogenase-like protein y4uC
arh:AHiyo8_32660	CDS	2310262..2311587	aspartate ammonia-lyase
arh:AHiyo8_32670	CDS	complement(2311599..2312057)	leucine-responsive regulatory protein
arh:AHiyo8_32680	CDS	2312558..2312803	uncharacterized protein Mb2257
arh:AHiyo8_32690	CDS	2313031..2313240	conserved hypothetical protein
arh:AHiyo8_32700	CDS	complement(2313322..2313450)	hypothetical protein
arh:AHiyo8_32710	CDS	complement(2313590..2313796)	hypothetical protein
arh:AHiyo8_32720	CDS	complement(2313942..2314880)	hypothetical protein
arh:AHiyo8_32730	CDS	2315045..2315890	uncharacterized oxidoreductase MSMEG_2408/MSMEI_2347
arh:AHiyo8_32740	CDS	2315919..2316890	uncharacterized oxidoreductase YrpG
arh:AHiyo8_32750	CDS	2316884..2317846	chloroplast stem-loop binding protein of 41 kDa b, chloroplastic
arh:AHiyo8_32760	CDS	2317910..2318740	uncharacterized oxidoreductase MSMEG_2408/MSMEI_2347
arh:AHiyo8_32770	CDS	2318773..2319243	6-Phosphogluconolactonase
arh:AHiyo8_32780	CDS	2319285..2319761	6-phosphogluconolactonase
arh:AHiyo8_32790	CDS	complement(2319995..2321065)	4-alpha-glucanotransferase
arh:AHiyo8_32800	CDS	complement(2321004..2321762)	4-alpha-glucanotransferase
arh:AHiyo8_32810	CDS	2321873..2322205	hypothetical protein
arh:AHiyo8_32820	CDS	2322571..2323416	DNA polymerase/3'-5' exonuclease PolX
arh:AHiyo8_32830	CDS	complement(2323591..2324634)	high-affinity nickel transport protein
arh:AHiyo8_32840	CDS	complement(2324651..2325157)	urease accessory protein UreD
arh:AHiyo8_32850	CDS	complement(2325668..2326285)	urease accessory protein UreG
arh:AHiyo8_32860	CDS	complement(2326302..2326823)	urease accessory protein UreF
arh:AHiyo8_32870	CDS	complement(2327103..2327588)	urease accessory protein UreE
arh:AHiyo8_32880	CDS	complement(2327609..2328043)	urease subunit alpha
arh:AHiyo8_32890	CDS	complement(2327986..2328807)	urease subunit alpha
arh:AHiyo8_32900	CDS	complement(2328771..2329022)	urease subunit alpha
arh:AHiyo8_32910	CDS	complement(2329010..2329282)	urease subunit alpha
arh:AHiyo8_32920	CDS	complement(2329257..2329733)	urease subunit beta
arh:AHiyo8_32930	CDS	complement(2329743..2330045)	urease subunit gamma
arh:AHiyo8_32940	CDS	complement(2330250..2330858)	protein DedA
arh:AHiyo8_32950	CDS	2331253..2332083	uncharacterized protein YfdE
arh:AHiyo8_32960	CDS	2332056..2332361	hypothetical protein
arh:AHiyo8_t00390	tRNA	complement(2332393..2332468)	tRNA-Lys
arh:AHiyo8_32970	CDS	2332713..2333372	hypothetical protein
arh:AHiyo8_32980	CDS	2333611..2334228	conserved hypothetical protein
arh:AHiyo8_32990	CDS	2334230..2335243	probable low-affinity inorganic phosphate transporter
arh:AHiyo8_33000	CDS	complement(2335350..2335889)	phosphate import ATP-binding protein PstB
arh:AHiyo8_33010	CDS	complement(2335886..2336128)	phosphate import ATP-binding protein PstB
arh:AHiyo8_33020	CDS	complement(2336251..2336718)	phosphate transport system permease protein PstA
arh:AHiyo8_33030	CDS	complement(2336715..2337131)	phosphate transport system permease protein PstA 1
arh:AHiyo8_33040	CDS	complement(2337283..2337510)	part of a binding-protein-dependent transport system
arh:AHiyo8_33050	CDS	complement(2337474..2338214)	phosphate transport system permease protein PstC 2
arh:AHiyo8_33060	CDS	complement(2338355..2339284)	phosphate-binding protein PstS 3
arh:AHiyo8_33070	CDS	2340244..2340882	hypothetical protein
arh:AHiyo8_33080	CDS	2340977..2342296	DNA repair protein RadA homolog
arh:AHiyo8_33090	CDS	2342361..2342984	conserved hypothetical protein
arh:AHiyo8_33100	CDS	complement(2343102..2344598)	peptide chain release factor 3
arh:AHiyo8_33110	CDS	2345515..2346528	DNA integrity scanning protein DisA
arh:AHiyo8_33120	CDS	complement(2346525..2347097)	conserved hypothetical protein
arh:AHiyo8_33130	CDS	2347406..2347795	A/G-specific adenine glycosylase
arh:AHiyo8_33140	CDS	2347747..2348277	A/G-specific adenine glycosylase
arh:AHiyo8_33150	CDS	complement(2348435..2349067)	malonyl-[acyl-carrier protein] O-methyltransferase
arh:AHiyo8_33160	CDS	complement(2349078..2349311)	hypothetical protein
arh:AHiyo8_33170	CDS	2349339..2349725	hypothetical protein
arh:AHiyo8_33180	CDS	complement(2349795..2350490)	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
arh:AHiyo8_33190	CDS	complement(2350487..2350639)	putative kinase MCAP_0235
arh:AHiyo8_33200	CDS	complement(2350636..2351082)	putative kinase MCAP_0235
arh:AHiyo8_33210	CDS	complement(2351138..2351455)	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
arh:AHiyo8_33220	CDS	complement(2351508..2352137)	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
arh:AHiyo8_33230	CDS	complement(2352313..2352519)	hypothetical protein
arh:AHiyo8_33240	CDS	complement(2352641..2353234)	amino-acid acetyltransferase
arh:AHiyo8_33250	CDS	complement(2353179..2354948)	dipeptidyl-peptidase 5
arh:AHiyo8_33260	CDS	complement(2355428..2356063)	ATP-dependent Clp protease ATP-binding subunit ClpC1
arh:AHiyo8_33270	CDS	complement(2356093..2357919)	ATP-dependent Clp protease ATP-binding subunit ClpC1
arh:AHiyo8_33280	CDS	complement(2358283..2358609)	nucleoid-associated protein Lsr2
arh:AHiyo8_33290	CDS	complement(2358669..2360522)	lysine--tRNA ligase
arh:AHiyo8_33300	CDS	2360534..2361316	putative aminoacrylate hydrolase RutD
arh:AHiyo8_33310	CDS	2361429..2362316	alpha/Beta hydrolase fold
arh:AHiyo8_33320	CDS	2362313..2363146	alpha/Beta hydrolase fold
arh:AHiyo8_r00070	rRNA	2363134..2363248	5S ribosomal RNA
arh:AHiyo8_r00020	rRNA	2363434..2366567	23S ribosomal RNA
arh:AHiyo8_r00120	rRNA	2367141..2368650	16S ribosomal RNA
arh:AHiyo8_33330	CDS	complement(2369530..2370339)	glutaryl-CoA dehydrogenase, mitochondrial
arh:AHiyo8_33340	CDS	complement(2370291..2370689)	glutaryl-CoA dehydrogenase, mitochondrial
arh:AHiyo8_33350	CDS	complement(2370668..2371885)	succinate--hydroxymethylglutarate CoA-transferase
arh:AHiyo8_33360	CDS	complement(2372242..2372688)	uncharacterized HTH-type transcriptional regulator in the TAR-I ttuE-ttuC' intergenic region
arh:AHiyo8_r00080	rRNA	2372699..2372814	5S ribosomal RNA
arh:AHiyo8_r00030	rRNA	2372990..2376121	23S ribosomal RNA
arh:AHiyo8_r00130	rRNA	2376694..2378203	16S ribosomal RNA
arh:AHiyo8_33370	CDS	complement(2379154..2380239)	lincomycin resistance protein LmrB
arh:AHiyo8_33380	CDS	complement(2380179..2380601)	uncharacterized MFS-type transporter YhcA
arh:AHiyo8_33390	CDS	complement(2380740..2381237)	pantothenate synthetase
arh:AHiyo8_33400	CDS	complement(2381240..2381641)	pantothenate synthetase
arh:AHiyo8_33410	CDS	complement(2381644..2381799)	hypothetical protein
arh:AHiyo8_33420	CDS	complement(2381906..2382481)	NADP oxidoreductase, coenzyme F420-dependent
arh:AHiyo8_33430	CDS	complement(2382884..2383873)	UPF0699 transmembrane protein YdbT
arh:AHiyo8_33440	CDS	complement(2384070..2385083)	UPF0699 transmembrane protein YdbS
arh:AHiyo8_33450	CDS	complement(2385087..2385626)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
arh:AHiyo8_33460	CDS	complement(2385623..2386006)	dihydroneopterin aldolase
arh:AHiyo8_33470	CDS	complement(2386012..2386917)	dihydropteroate synthase 1
arh:AHiyo8_33480	CDS	complement(2386926..2387138)	GTP cyclohydrolase 1
arh:AHiyo8_33490	CDS	complement(2387123..2388532)	ATP-dependent zinc metalloprotease FtsH
arh:AHiyo8_33500	CDS	complement(2388508..2388951)	ATP-dependent zinc metalloprotease FtsH
arh:AHiyo8_33510	CDS	complement(2388942..2389520)	ATP-dependent zinc metalloprotease FtsH
arh:AHiyo8_33520	CDS	complement(2389906..2390268)	hypothetical protein
arh:AHiyo8_33530	CDS	complement(2390434..2390955)	hypothetical protein
arh:AHiyo8_33540	CDS	complement(2390952..2391698)	hypothetical protein
arh:AHiyo8_33550	CDS	complement(2391733..2392089)	hypothetical protein
arh:AHiyo8_33560	CDS	complement(2392408..2392917)	hypothetical protein
arh:AHiyo8_33570	CDS	complement(2393104..2393655)	hypoxanthine-guanine phosphoribosyltransferase
arh:AHiyo8_33580	CDS	complement(2393791..2393934)	hypothetical protein
arh:AHiyo8_33590	CDS	complement(2393943..2394584)	tRNA(Ile)-lysidine synthase
arh:AHiyo8_33600	CDS	complement(2394841..2395041)	conserved hypothetical protein
arh:AHiyo8_33610	CDS	complement(2395038..2396042)	conserved hypothetical protein
arh:AHiyo8_33620	CDS	complement(2396021..2397163)	D-alanyl-D-alanine carboxypeptidase DacC
arh:AHiyo8_33630	CDS	complement(2397160..2397327)	hypothetical protein
arh:AHiyo8_33640	CDS	complement(2397294..2397560)	hypothetical protein
arh:AHiyo8_33650	CDS	2397697..2398185	inorganic pyrophosphatase
arh:AHiyo8_33660	CDS	2398373..2398972	hypothetical protein
arh:AHiyo8_33670	CDS	2399141..2400121	hypothetical protein
arh:AHiyo8_33680	CDS	complement(2400191..2400289)	hypothetical protein
arh:AHiyo8_33690	CDS	complement(2400273..2400842)	hydrolase
arh:AHiyo8_33700	CDS	complement(2400839..2401033)	hydrolase
arh:AHiyo8_33710	CDS	complement(2401334..2402614)	serine--tRNA ligase
arh:AHiyo8_33720	CDS	2402725..2403771	diacylglycerol kinase
arh:AHiyo8_33730	CDS	2403851..2404054	hypothetical protein
arh:AHiyo8_33740	CDS	complement(2404165..2405112)	prephenate dehydratase
arh:AHiyo8_33750	CDS	complement(2405144..2405470)	uncharacterized protein YtwF
arh:AHiyo8_33760	CDS	2405554..2406297	uncharacterized peptidase YgaJ
arh:AHiyo8_33770	CDS	2406290..2406565	glutamyl-tRNA(Gln) amidotransferase subunit A
arh:AHiyo8_33780	CDS	2406523..2406951	putative amidase AF_1954
arh:AHiyo8_33790	CDS	2406978..2407568	hypothetical protein
arh:AHiyo8_33800	CDS	2407562..2407744	glutamyl-tRNA(Gln) amidotransferase subunit A
arh:AHiyo8_33810	CDS	2407774..2409273	uncharacterized transporter YclF
arh:AHiyo8_33820	CDS	complement(2409356..2409952)	hypothetical protein
arh:AHiyo8_33830	CDS	2410161..2410484	phosphoglucomutase
arh:AHiyo8_33840	CDS	2410586..2411824	phosphoglucomutase
arh:AHiyo8_33850	CDS	complement(2411831..2412331)	hypothetical protein
arh:AHiyo8_33860	CDS	complement(2412531..2413136)	putative NADH dehydrogenase/NAD(P)H nitroreductase SCO5049
