chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_04165	CDS	complement(930110..930514)	DoxX family protein
chg:AXF12_04170	CDS	931252..932004	molybdenum ABC transporter substrate-binding protein
chg:AXF12_04175	CDS	932011..932688	molybdenum ABC transporter permease
chg:AXF12_04180	CDS	932688..933299	hypothetical protein
chg:AXF12_04185	CDS	complement(933395..934717)	sodium:proton antiporter
chg:AXF12_04190	CDS	934935..938114	cytochrome C biogenesis protein
chg:AXF12_04195	CDS	938104..939072	beta-ketoacyl synthase
chg:AXF12_04200	CDS	939069..939803	polysaccharide deacetylase
chg:AXF12_04205	CDS	939800..940414	cell envelope biogenesis protein LolA
chg:AXF12_04210	CDS	940419..941036	hypothetical protein
chg:AXF12_04215	CDS	941042..941407	3-hydroxyacyl-ACP dehydratase
chg:AXF12_04220	CDS	941541..942503	mannose-6-phosphate isomerase
chg:AXF12_04225	CDS	942537..943547	3-oxoacyl-ACP synthase
chg:AXF12_04230	CDS	complement(943534..944211)	alpha/beta hydrolase
chg:AXF12_04235	CDS	944329..944610	acetyltransferase
chg:AXF12_04240	CDS	944636..945574	hydroxyacid dehydrogenase
chg:AXF12_04245	CDS	complement(945555..946562)	DNA polymerase III subunit delta
chg:AXF12_04250	CDS	946601..947053	restriction endonuclease subunit R
chg:AXF12_04255	CDS	947050..948039	glycosyl transferase family 2
chg:AXF12_04260	CDS	948133..948696	septum formation inhibitor Maf
chg:AXF12_04265	CDS	948698..949939	hypothetical protein
chg:AXF12_04270	CDS	949942..950400	hypothetical protein
chg:AXF12_04275	CDS	950496..950846	hypothetical protein
chg:AXF12_04280	CDS	950853..951908	hypothetical protein
chg:AXF12_04285	CDS	952003..954906	beta-N-acetylglucosaminidase
chg:AXF12_04290	CDS	954980..956776	elongation factor 4
chg:AXF12_04295	CDS	956846..959875	hypothetical protein
chg:AXF12_04300	CDS	960011..961348	peptidylprolyl isomerase
chg:AXF12_04305	CDS	961446..962105	ATP-dependent Clp protease proteolytic subunit
chg:AXF12_04310	CDS	962105..963340	ATP-dependent Clp protease ATP-binding subunit ClpX
chg:AXF12_04315	tRNA	complement(963432..963514)	tRNA-Leu
chg:AXF12_04320	CDS	complement(963666..964901)	cell division protein FtsW
chg:AXF12_04325	CDS	complement(964906..966252)	UDP-N-acetylmuramoylalanine--D-glutamate ligase
chg:AXF12_04330	gene	complement(966490..967871)	pseudogene
chg:AXF12_04335	CDS	968714..969847	beta-ketoacyl synthase
chg:AXF12_04340	CDS	970023..970904	hypothetical protein
chg:AXF12_04345	gene	970889..971424	pseudogene
chg:AXF12_04350	CDS	971664..971921	acyl carrier protein
chg:AXF12_04355	CDS	971924..973123	beta-ACP synthase
chg:AXF12_04360	CDS	973306..974304	3-oxoacyl-ACP synthase
chg:AXF12_04365	CDS	974374..974877	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
chg:AXF12_04370	CDS	974953..976311	acetyl-CoA carboxylase biotin carboxylase subunit
chg:AXF12_04375	CDS	complement(976429..976881)	hemerythrin
chg:AXF12_04380	CDS	complement(976910..977614)	octanoyltransferase
chg:AXF12_04385	CDS	complement(977614..978471)	metalloprotease
chg:AXF12_04390	CDS	complement(978598..980328)	DNA mismatch repair protein
chg:AXF12_04395	CDS	complement(980328..981620)	rod shape-determining protein RodA
chg:AXF12_04400	CDS	complement(981631..981870)	hypothetical protein
chg:AXF12_04405	CDS	complement(982006..982332)	hypothetical protein
chg:AXF12_04410	CDS	complement(982390..982668)	hypothetical protein
chg:AXF12_04415	CDS	complement(982656..982874)	hypothetical protein
chg:AXF12_04420	CDS	complement(982892..983266)	hypothetical protein
chg:AXF12_04425	CDS	complement(983411..986002)	ATP-dependent chaperone ClpB
chg:AXF12_04430	CDS	986319..987191	phosphorylase
chg:AXF12_04435	CDS	987243..987674	4-hydroxybenzoyl-CoA thioesterase
chg:AXF12_04440	CDS	987895..988866	homoserine acetyltransferase
chg:AXF12_04445	CDS	989203..991623	homoserine dehydrogenase
chg:AXF12_04450	CDS	991692..992651	5,10-methylenetetrahydrofolate reductase
chg:AXF12_04455	CDS	complement(992757..993893)	cystathionine gamma-synthase
chg:AXF12_04460	CDS	complement(993949..996252)	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
chg:AXF12_04465	CDS	996671..998221	sialidase
chg:AXF12_04470	CDS	998306..999691	hypothetical protein
chg:AXF12_04475	CDS	999843..1002968	trypsin
chg:AXF12_04480	CDS	1003158..1004666	hypothetical protein
chg:AXF12_04485	CDS	complement(1004755..1005501)	ABC transporter ATP-binding protein
chg:AXF12_04490	CDS	1005606..1006259	rRNA methyltransferase
chg:AXF12_04495	CDS	1006311..1007579	ABC transporter
chg:AXF12_04500	CDS	1007737..1008081	hypothetical protein
chg:AXF12_04505	CDS	1008213..1008419	hypothetical protein
chg:AXF12_04510	CDS	complement(1008559..1009458)	hypothetical protein
chg:AXF12_04515	CDS	complement(1009462..1009848)	diacylglycerol kinase
chg:AXF12_04520	CDS	complement(1009975..1010673)	dolichyl-phosphate beta-D-mannosyltransferase
chg:AXF12_04525	CDS	complement(1010683..1011090)	hypothetical protein
chg:AXF12_04530	CDS	complement(1011314..1011619)	hypothetical protein
chg:AXF12_04535	CDS	complement(1011731..1012993)	8-amino-7-oxononanoate synthase
chg:AXF12_04540	CDS	complement(1013034..1014038)	cystathionine beta-synthase
chg:AXF12_04545	CDS	complement(1014209..1014397)	hypothetical protein
chg:AXF12_04550	CDS	complement(1014443..1016548)	methionine--tRNA ligase
chg:AXF12_04555	CDS	1017139..1018071	hypothetical protein
chg:AXF12_04560	CDS	1018177..1026612	hypothetical protein
chg:AXF12_04565	CDS	1026827..1036168	hypothetical protein
chg:AXF12_04570	CDS	1036321..1037244	hypothetical protein
chg:AXF12_04575	CDS	1037292..1039256	flagellar motor protein MotB
chg:AXF12_04580	CDS	1039344..1041299	flagellar motor protein MotB
chg:AXF12_04585	CDS	complement(1041365..1044097)	hypothetical protein
chg:AXF12_04590	tRNA	1044436..1044510	tRNA-Arg
chg:AXF12_04595	CDS	1044684..1046117	cell division protein
chg:AXF12_04600	CDS	1046137..1046670	acyl-CoA thioesterase
chg:AXF12_04605	CDS	1046739..1047392	iron-dependent repressor
chg:AXF12_04610	CDS	1047448..1048233	hypothetical protein
chg:AXF12_04615	CDS	1048236..1048940	phosphoadenosine phosphosulfate reductase
chg:AXF12_04620	CDS	complement(1048980..1049783)	rRNA methyltransferase
chg:AXF12_04625	CDS	complement(1049943..1050140)	hypothetical protein
chg:AXF12_04630	CDS	complement(1050236..1052005)	signal peptide peptidase SppA
chg:AXF12_04635	CDS	1052538..1055567	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_04640	CDS	1055586..1057250	hypothetical protein
chg:AXF12_04645	CDS	1057259..1058605	hypothetical protein
chg:AXF12_04650	CDS	1058618..1059865	hypothetical protein
chg:AXF12_04655	CDS	1060259..1061014	hypothetical protein
chg:AXF12_04660	CDS	1061073..1062452	hypothetical protein
chg:AXF12_04665	CDS	1062603..1064000	histidine--tRNA ligase
chg:AXF12_04670	CDS	complement(1064176..1065426)	aspartate kinase
chg:AXF12_04675	CDS	complement(1065630..1066319)	hypothetical protein
chg:AXF12_04680	CDS	complement(1066339..1066833)	lipocalin
chg:AXF12_04685	CDS	complement(1066904..1067665)	MBL fold metallo-hydrolase
chg:AXF12_04690	CDS	1067886..1069031	hypothetical protein
chg:AXF12_04695	CDS	1069028..1069633	hypothetical protein
chg:AXF12_04700	CDS	1069728..1071608	molecular chaperone HtpG
chg:AXF12_04705	CDS	1071835..1073049	alpha/beta hydrolase
chg:AXF12_04710	CDS	1073229..1074959	amino acid permease
chg:AXF12_04715	CDS	1074989..1076716	amino acid permease
chg:AXF12_04720	CDS	1076880..1077287	hypothetical protein
chg:AXF12_04725	CDS	1077498..1078739	collagenase
chg:AXF12_04730	CDS	1078815..1079045	4Fe-4S ferredoxin
chg:AXF12_04735	CDS	1079129..1079749	hypothetical protein
chg:AXF12_04740	CDS	1079804..1080178	hypothetical protein
chg:AXF12_04745	CDS	1080175..1080663	hypothetical protein
chg:AXF12_04750	CDS	1080663..1081595	hypothetical protein
chg:AXF12_04755	CDS	complement(1081566..1082222)	uracil phosphoribosyltransferase
chg:AXF12_04760	CDS	1082350..1083417	3-dehydroquinate synthase
chg:AXF12_04765	CDS	complement(1083475..1083963)	diacylglycerol kinase
chg:AXF12_04770	CDS	complement(1083960..1084364)	hypothetical protein
chg:AXF12_04775	CDS	complement(1084471..1086702)	isocitrate dehydrogenase
chg:AXF12_04780	CDS	complement(1086983..1089118)	TonB-dependent receptor
chg:AXF12_04785	CDS	complement(1089605..1090837)	phospho-N-acetylmuramoyl-pentapeptide-transferase
chg:AXF12_04790	CDS	complement(1090899..1092359)	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
chg:AXF12_04795	CDS	complement(1092553..1094571)	penicillin-binding protein
chg:AXF12_04800	CDS	complement(1094578..1094907)	S-adenosyl-methyltransferase
chg:AXF12_04805	CDS	complement(1094946..1095854)	ribosomal RNA small subunit methyltransferase H
chg:AXF12_04810	CDS	1096667..1108798	HYR domain protein
chg:AXF12_04815	CDS	1109484..1110203	iron-sulfur cluster repair di-iron protein
chg:AXF12_04820	CDS	complement(1110280..1111290)	phosphatidic acid phosphatase
chg:AXF12_04825	CDS	1111426..1111836	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
chg:AXF12_04830	CDS	1112081..1113091	o-succinylbenzoate synthase
chg:AXF12_04835	CDS	complement(1113081..1113743)	SAM-dependent methyltransferase
chg:AXF12_04840	CDS	1113854..1114909	branched chain amino acid aminotransferase
chg:AXF12_04845	CDS	1114929..1116023	hypothetical protein
chg:AXF12_04850	CDS	complement(1116113..1116763)	protein-L-isoaspartate O-methyltransferase
chg:AXF12_04855	CDS	1116913..1117503	hypothetical protein
chg:AXF12_04860	tRNA	complement(1117536..1117612)	tRNA-Arg
chg:AXF12_04865	CDS	1117875..1119365	hypothetical protein
chg:AXF12_04870	CDS	complement(1119418..1119741)	hypothetical protein
chg:AXF12_04875	CDS	complement(1119750..1119941)	hypothetical protein
chg:AXF12_04880	CDS	complement(1120004..1120735)	energy transducer TonB
chg:AXF12_04885	CDS	complement(1120999..1121733)	energy transducer TonB
chg:AXF12_04890	CDS	complement(1121769..1122164)	hypothetical protein
chg:AXF12_04895	CDS	complement(1122157..1122537)	glycine cleavage system protein H
chg:AXF12_04900	CDS	1122900..1123928	ferrochelatase
chg:AXF12_04905	CDS	1123933..1124475	hypothetical protein
chg:AXF12_04910	tRNA	1124558..1124634	tRNA-Met
chg:AXF12_04915	CDS	1124687..1124878	hypothetical protein
chg:AXF12_04920	CDS	1124987..1126786	GTP-binding protein TypA
chg:AXF12_04925	CDS	1126875..1127966	ychF; GTP-binding protein
chg:AXF12_04930	CDS	1128316..1129194	cell division protein FtsX
chg:AXF12_04935	CDS	1129205..1129450	hypothetical protein
chg:AXF12_04940	CDS	1129447..1130253	UDP-diphosphatase
chg:AXF12_04945	CDS	complement(1130337..1131092)	hypothetical protein
chg:AXF12_04950	CDS	complement(1131175..1132467)	eno; enolase
chg:AXF12_04955	CDS	complement(1132551..1133021)	damage-inducible protein DinB
chg:AXF12_04960	CDS	complement(1133024..1134127)	carbamoyl-phosphate synthase small subunit
chg:AXF12_04965	CDS	complement(1134407..1135063)	hypothetical protein
chg:AXF12_04970	CDS	complement(1135230..1136291)	3-phosphoserine/phosphohydroxythreonine aminotransferase
chg:AXF12_04975	CDS	complement(1136362..1137366)	acyl-CoA reductase
chg:AXF12_04980	CDS	complement(1137471..1139981)	hypothetical protein
chg:AXF12_04985	gene	complement(1140155..1140949)	pseudogene
chg:AXF12_04990	CDS	1141136..1142548	serine protease
chg:AXF12_04995	CDS	1142636..1143109	50S rRNA methyltransferase
chg:AXF12_05000	CDS	complement(1143176..1144345)	cystathionine beta-lyase
chg:AXF12_05005	CDS	complement(1144376..1145686)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
chg:AXF12_05010	CDS	complement(1145673..1146344)	methionyl-tRNA formyltransferase
chg:AXF12_05015	CDS	complement(1146341..1146631)	hypothetical protein
chg:AXF12_05020	CDS	1146936..1147670	biotin--acetyl-CoA-carboxylase ligase
chg:AXF12_05025	CDS	complement(1147688..1147996)	septum formation inhibitor
chg:AXF12_05030	CDS	complement(1147996..1148610)	uridine kinase
chg:AXF12_05035	CDS	complement(1148674..1150071)	MATE family efflux transporter
chg:AXF12_05040	CDS	complement(1150400..1151659)	peptidase
chg:AXF12_05045	CDS	1151802..1152860	heptosyltransferase
chg:AXF12_05050	CDS	1152864..1153280	3-dehydroquinate dehydratase
chg:AXF12_05055	CDS	1153281..1156061	hypothetical protein
chg:AXF12_05060	CDS	1156088..1157053	phosphate starvation-inducible protein PhoH
chg:AXF12_05065	CDS	1157223..1158086	nucleotidyltransferase
chg:AXF12_05070	CDS	1158137..1159180	phosphotransferase
chg:AXF12_05075	CDS	1159203..1159502	GTP cyclohydrolase
chg:AXF12_05080	CDS	1159589..1160752	galactokinase
chg:AXF12_05085	CDS	1160765..1161838	galactose mutarotase
chg:AXF12_05090	CDS	1161842..1163416	galactose-1-phosphate uridylyltransferase
chg:AXF12_05095	CDS	1163541..1164335	transposase
chg:AXF12_05100	CDS	complement(1164511..1164696)	hypothetical protein
chg:AXF12_05105	CDS	1164750..1165829	efflux transporter periplasmic adaptor subunit
chg:AXF12_05110	gene	1165929..1166288	pseudogene
chg:AXF12_05115	CDS	1166408..1169581	acriflavin resistance protein
chg:AXF12_05120	CDS	1169713..1170336	ribonuclease H
chg:AXF12_05125	CDS	1170367..1171269	hypothetical protein
chg:AXF12_05130	CDS	complement(1171280..1171840)	hypothetical protein
chg:AXF12_05135	CDS	complement(1171840..1173498)	alpha-amylase
chg:AXF12_05140	CDS	complement(1173491..1174429)	peptide chain release factor 2
chg:AXF12_05145	CDS	complement(1174614..1174925)	hypothetical protein
chg:AXF12_05150	CDS	complement(1175080..1175634)	ribosome recycling factor
chg:AXF12_05155	CDS	complement(1175618..1175848)	hypothetical protein
chg:AXF12_05160	CDS	complement(1175853..1176050)	hypothetical protein
chg:AXF12_05165	CDS	complement(1176054..1176761)	pyrH; UMP kinase
chg:AXF12_05170	CDS	complement(1177021..1177398)	mechanosensitive ion channel protein MscL
chg:AXF12_05175	CDS	complement(1177584..1179695)	dipeptidyl carboxypeptidase
chg:AXF12_05180	CDS	complement(1179785..1182532)	sodium-translocating pyrophosphatase
chg:AXF12_05185	CDS	1183027..1183791	hydrolase Nlp/P60
chg:AXF12_05190	CDS	1183887..1185281	tRNA modification GTPase MnmE
chg:AXF12_05195	CDS	1185476..1185712	50S ribosomal protein L28
chg:AXF12_05200	CDS	1185728..1185910	50S ribosomal protein L33
chg:AXF12_05205	CDS	1186271..1187233	signal recognition particle-docking protein FtsY
chg:AXF12_05210	CDS	1187400..1188749	hypothetical protein
chg:AXF12_05215	CDS	complement(1188820..1189014)	hypothetical protein
chg:AXF12_05220	CDS	1189385..1190029	riboflavin biosynthesis protein
chg:AXF12_05225	CDS	1190029..1191312	threonine synthase
chg:AXF12_05230	CDS	complement(1191489..1192388)	hypothetical protein
chg:AXF12_05235	CDS	complement(1192470..1193078)	hypothetical protein
chg:AXF12_05240	CDS	1193645..1194367	hypothetical protein
chg:AXF12_05245	CDS	1195046..1196326	peptidase M16
chg:AXF12_05250	CDS	1196332..1197771	peptidase M16
chg:AXF12_05255	CDS	1197778..1198566	haloacid dehalogenase
chg:AXF12_05260	CDS	1198780..1201023	nitric oxide reductase large subunit
chg:AXF12_05265	CDS	1201363..1204371	preprotein translocase subunit SecD
chg:AXF12_05270	CDS	1204512..1205915	dihydrolipoamide dehydrogenase
chg:AXF12_05275	CDS	1206365..1207543	proline dehydrogenase
chg:AXF12_05280	CDS	1207725..1208330	hypothetical protein
chg:AXF12_05285	CDS	1208417..1209586	lldD; alpha-hydroxy-acid oxidizing enzyme
chg:AXF12_05290	CDS	1209721..1212228	polysialic acid transporter
chg:AXF12_05295	CDS	1212294..1213328	capsule biosynthesis protein
chg:AXF12_05300	CDS	1213352..1214431	hypothetical protein
chg:AXF12_05305	CDS	1214435..1215085	haloacid dehalogenase
chg:AXF12_05310	CDS	1215089..1215766	hypothetical protein
chg:AXF12_05315	CDS	1215805..1216944	hypothetical protein
chg:AXF12_05320	CDS	1217322..1218647	hypothetical protein
chg:AXF12_05325	CDS	1218649..1219110	hypothetical protein
chg:AXF12_05330	CDS	1219138..1220070	hypothetical protein
chg:AXF12_05335	rRNA	1220426..1221950	16S ribosomal RNA
chg:AXF12_05340	tRNA	1222134..1222210	tRNA-Ile
chg:AXF12_05345	tRNA	1222363..1222439	tRNA-Ala
chg:AXF12_05350	rRNA	1222595..1225441	23S ribosomal RNA
chg:AXF12_05355	rRNA	1225554..1225661	rrf; 5S ribosomal RNA
chg:AXF12_05360	CDS	1225820..1228243	transporter
chg:AXF12_05365	CDS	1228270..1229544	NADH dehydrogenase
chg:AXF12_05370	CDS	1229653..1230822	hypothetical protein
chg:AXF12_05375	CDS	1230823..1231488	hypothetical protein
chg:AXF12_05380	CDS	1232242..1233054	hypothetical protein
chg:AXF12_05385	CDS	complement(1233335..1234567)	phosphohydrolase
chg:AXF12_05390	CDS	complement(1234551..1236671)	sulfatase
chg:AXF12_05395	gene	complement(1236798..1237171)	pseudogene
chg:AXF12_05400	CDS	complement(1237330..1237641)	hypothetical protein
chg:AXF12_05405	CDS	complement(1237792..1238910)	DNA polymerase III subunit beta
chg:AXF12_05410	CDS	complement(1239126..1240157)	hypothetical protein
chg:AXF12_05415	CDS	complement(1240323..1240577)	hypothetical protein
chg:AXF12_05420	CDS	complement(1240590..1240871)	hypothetical protein
chg:AXF12_05425	CDS	complement(1240956..1242782)	antibiotic ABC transporter ATP-binding protein
chg:AXF12_05430	CDS	complement(1242782..1243864)	O-succinylbenzoic acid--CoA ligase
chg:AXF12_05435	CDS	1244248..1244748	AsnC family transcriptional regulator
chg:AXF12_05440	CDS	1244753..1245367	deoxynucleoside kinase
chg:AXF12_05445	CDS	complement(1245414..1246271)	N-acetylglucosamine kinase
chg:AXF12_05450	CDS	complement(1246406..1247407)	glyceraldehyde-3-phosphate dehydrogenase
chg:AXF12_05455	CDS	complement(1247481..1248461)	6-phosphofructokinase
chg:AXF12_05460	CDS	1248925..1249683	hypothetical protein
chg:AXF12_05465	CDS	1249692..1250045	hypothetical protein
chg:AXF12_05470	CDS	1250138..1251478	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
chg:AXF12_05475	CDS	complement(1251580..1252698)	hypothetical protein
chg:AXF12_05480	CDS	1253248..1254915	hypothetical protein
chg:AXF12_05485	CDS	1254943..1256508	peptidoglycan-binding protein
chg:AXF12_05490	CDS	1256535..1258187	alginate O-acetyltransferase
chg:AXF12_05495	CDS	1258387..1259412	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
chg:AXF12_05500	CDS	1259426..1260814	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
chg:AXF12_05505	CDS	1260821..1261606	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
chg:AXF12_05510	CDS	1261681..1262247	elongation factor P
chg:AXF12_05515	CDS	1262262..1263176	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
chg:AXF12_05520	CDS	1263185..1263868	phosphonate ABC transporter ATP-binding protein
chg:AXF12_05525	CDS	1264077..1265027	3-phosphoglycerate dehydrogenase
chg:AXF12_05530	CDS	1265039..1265425	hypothetical protein
chg:AXF12_05535	CDS	1265569..1266006	CMP deaminase
chg:AXF12_05540	CDS	1266003..1267874	hypothetical protein
chg:AXF12_05545	CDS	complement(1268205..1270274)	peptidase M41
chg:AXF12_05550	CDS	complement(1270278..1270649)	ribosome-associated protein IOJAP
chg:AXF12_05555	CDS	complement(1271063..1273279)	oxidoreductase
chg:AXF12_05560	CDS	1273788..1274756	hypothetical protein
chg:AXF12_05565	CDS	1274845..1275168	hypothetical protein
chg:AXF12_05570	CDS	1275252..1275800	hypothetical protein
chg:AXF12_05575	CDS	1275883..1276368	hypothetical protein
chg:AXF12_05580	CDS	1276411..1276737	hypothetical protein
chg:AXF12_05585	CDS	complement(1276797..1277615)	dihydroorotate dehydrogenase
chg:AXF12_05590	CDS	complement(1277805..1278326)	acetyltransferase
chg:AXF12_05595	CDS	complement(1278333..1279118)	diaminopimelate epimerase
chg:AXF12_05600	CDS	complement(1279128..1280015)	phosphatidate cytidylyltransferase
chg:AXF12_05605	CDS	complement(1280019..1280627)	hypothetical protein
chg:AXF12_05610	CDS	complement(1280820..1283270)	primosomal protein N'
chg:AXF12_05615	CDS	complement(1283301..1284224)	ribonuclease BN
chg:AXF12_05620	CDS	1284666..1285154	N5-carboxyaminoimidazole ribonucleotide mutase
chg:AXF12_05625	CDS	1285147..1286694	guaA; GMP synthase
chg:AXF12_05630	CDS	1286753..1288684	peptidoglycan-binding protein LysM
chg:AXF12_05635	CDS	complement(1288786..1289769)	UDP-N-acetylenolpyruvoylglucosamine reductase
chg:AXF12_05640	CDS	1289851..1290825	deoxyhypusine synthase
chg:AXF12_05645	CDS	complement(1290905..1291426)	hypothetical protein
chg:AXF12_05650	CDS	1291865..1293400	magnesium chelatase
chg:AXF12_05655	CDS	1293518..1294078	hypothetical protein
chg:AXF12_05660	CDS	1294086..1294565	hypothetical protein
chg:AXF12_05665	gene	complement(1294600..1295193)	pseudogene
chg:AXF12_05670	CDS	complement(1295213..1295896)	hypothetical protein
chg:AXF12_05675	gene	complement(1296008..1296800)	pseudogene
chg:AXF12_05680	CDS	complement(1296905..1297690)	hypothetical protein
chg:AXF12_05685	gene	complement(1297736..1298047)	pseudogene
chg:AXF12_05690	CDS	complement(1298649..1299521)	hypothetical protein
chg:AXF12_05695	CDS	complement(1299668..1300627)	electron transfer flavoprotein subunit alpha
chg:AXF12_05700	CDS	complement(1300634..1301380)	electron transfer flavoprotein subunit alpha
chg:AXF12_05705	CDS	1301828..1302487	hypothetical protein
chg:AXF12_05710	CDS	complement(1302495..1303241)	glycerol acyltransferase
chg:AXF12_05715	tRNA	1303439..1303514	tRNA-Gly
chg:AXF12_05720	CDS	1303625..1304554	phospholipase
chg:AXF12_05725	CDS	1304703..1305545	hypothetical protein
chg:AXF12_05730	CDS	1305542..1306273	3-deoxy-manno-octulosonate cytidylyltransferase
chg:AXF12_05735	CDS	1306294..1307076	hypothetical protein
chg:AXF12_05740	CDS	complement(1307349..1308317)	hypothetical protein
chg:AXF12_05745	CDS	1308645..1309922	integrase
chg:AXF12_05750	CDS	1310136..1310525	hypothetical protein
chg:AXF12_05755	CDS	1310620..1311801	terminase
chg:AXF12_05760	CDS	1311822..1313231	hypothetical protein
chg:AXF12_05765	CDS	1313341..1314852	hypothetical protein
chg:AXF12_05770	CDS	1314849..1315070	hypothetical protein
chg:AXF12_05775	CDS	1315072..1315488	phosphohydrolase
chg:AXF12_05780	CDS	complement(1315481..1315690)	hypothetical protein
chg:AXF12_05785	CDS	1316176..1316799	hypothetical protein
chg:AXF12_05790	CDS	1316805..1317197	hypothetical protein
chg:AXF12_05795	CDS	1317230..1318312	hypothetical protein
chg:AXF12_05800	CDS	1318336..1318650	hypothetical protein
chg:AXF12_05805	CDS	1318650..1318964	hypothetical protein
chg:AXF12_05810	CDS	1318977..1319303	hypothetical protein
chg:AXF12_05815	CDS	1319300..1319689	hypothetical protein
chg:AXF12_05820	CDS	1319695..1320096	hypothetical protein
chg:AXF12_05825	CDS	1320127..1320579	hypothetical protein
chg:AXF12_05830	CDS	1320665..1321156	hypothetical protein
chg:AXF12_05835	CDS	1321351..1322145	hypothetical protein
chg:AXF12_05840	CDS	1322150..1326148	hypothetical protein
chg:AXF12_05845	gene	1326180..1326743	pseudogene
chg:AXF12_05850	CDS	1326856..1327356	peptidoglycan hydrolase
chg:AXF12_05855	CDS	1327395..1327925	hypothetical protein
chg:AXF12_05860	CDS	complement(1328013..1328669)	hypothetical protein
chg:AXF12_05865	CDS	complement(1328747..1329715)	hypothetical protein
chg:AXF12_05870	CDS	complement(1329976..1330416)	hypothetical protein
chg:AXF12_05875	CDS	1330622..1330843	hypothetical protein
chg:AXF12_05880	CDS	1330867..1331292	hypothetical protein
chg:AXF12_05885	CDS	1331297..1331620	hypothetical protein
chg:AXF12_05890	CDS	1331620..1332282	hypothetical protein
chg:AXF12_05895	CDS	1332332..1332583	hypothetical protein
chg:AXF12_05900	CDS	1332638..1333456	hypothetical protein
chg:AXF12_05905	CDS	1333542..1334222	hypothetical protein
chg:AXF12_05910	CDS	1334228..1334902	hypothetical protein
chg:AXF12_05915	CDS	1334904..1335557	hypothetical protein
chg:AXF12_05920	CDS	1335570..1336046	hypothetical protein
chg:AXF12_05925	CDS	1336059..1336310	hypothetical protein
chg:AXF12_05930	CDS	1336313..1336561	hypothetical protein
chg:AXF12_05935	CDS	1336564..1336947	hypothetical protein
chg:AXF12_05940	CDS	1336983..1337738	DNA-binding protein
chg:AXF12_05945	CDS	1337771..1338187	hypothetical protein
chg:AXF12_05950	CDS	1338205..1338939	hypothetical protein
chg:AXF12_05955	CDS	1339093..1341372	DNA methylase
chg:AXF12_05960	CDS	1341589..1342560	hypothetical protein
chg:AXF12_05965	CDS	1342529..1343362	hypothetical protein
chg:AXF12_05970	CDS	1343367..1343576	hypothetical protein
chg:AXF12_05975	CDS	1343813..1344028	hypothetical protein
chg:AXF12_05980	gene	1344003..1344359	pseudogene
chg:AXF12_05985	CDS	1344466..1344732	hypothetical protein
chg:AXF12_05990	CDS	1344734..1345378	hypothetical protein
chg:AXF12_05995	CDS	1345571..1345756	hypothetical protein
chg:AXF12_06000	CDS	1345804..1346211	hypothetical protein
chg:AXF12_06005	CDS	1346603..1346947	hypothetical protein
chg:AXF12_06010	CDS	1346952..1347659	hypothetical protein
chg:AXF12_06015	CDS	1347805..1348011	hypothetical protein
chg:AXF12_06020	CDS	1348025..1348345	hypothetical protein
chg:AXF12_06025	CDS	1348445..1348645	hypothetical protein
chg:AXF12_06030	CDS	1348801..1349286	hypothetical protein
chg:AXF12_06035	CDS	1349543..1350232	phosphoadenosine phosphosulfate reductase
chg:AXF12_06040	CDS	1350210..1350929	hypothetical protein
chg:AXF12_06045	gene	1350952..1351320	pseudogene
chg:AXF12_06050	CDS	1351417..1355670	hypothetical protein
chg:AXF12_06055	CDS	complement(1355763..1356053)	hypothetical protein
chg:AXF12_06060	CDS	1356333..1357190	hypothetical protein
chg:AXF12_06065	CDS	1357365..1357982	TetR family transcriptional regulator
chg:AXF12_06070	CDS	1357990..1359336	transporter
chg:AXF12_06075	CDS	complement(1359466..1360662)	aspartate aminotransferase
chg:AXF12_06080	CDS	complement(1361239..1361643)	DNA-binding protein
chg:AXF12_06085	CDS	1361983..1362768	pyrophosphatase
chg:AXF12_06090	CDS	complement(1362827..1364110)	diapophytoene dehydrogenase
chg:AXF12_06095	CDS	complement(1364113..1364622)	hypothetical protein
chg:AXF12_06100	CDS	complement(1364628..1364864)	hypothetical protein
chg:AXF12_06105	CDS	complement(1364911..1365195)	hypothetical protein
chg:AXF12_06110	CDS	1365450..1366277	preprotein translocase subunit TatC
chg:AXF12_06115	CDS	1366326..1366982	hypothetical protein
chg:AXF12_06120	CDS	complement(1367084..1367641)	hypothetical protein
chg:AXF12_06125	CDS	complement(1368161..1369993)	hypothetical protein
chg:AXF12_06130	gene	complement(1370341..1370685)	pseudogene
chg:AXF12_06135	CDS	complement(1370711..1371013)	XRE family transcriptional regulator
