ctrn:L3404_pLN_1	gene	pL3404:join(165..227,227..997)	pseudogene
ctrn:L3404_00729	CDS	complement(789098..790063)	oligopeptide transporter ATP-binding component
ctrn:L3404_00730	CDS	790224..790898	hypothetical protein
ctrn:L3404_00731	CDS	790901..792181	Phosphate transporter family protein
ctrn:L3404_00732	CDS	792320..793531	bifunctional phosphoglycerate kinase/triosephosphate isomerase
ctrn:L3404_00733	CDS	793791..794759	hypothetical protein
ctrn:L3404_00734	CDS	794810..796006	hypothetical protein
ctrn:L3404_00735	CDS	796092..797270	hypothetical protein
ctrn:L3404_00736	CDS	complement(797267..797902)	endonuclease III
ctrn:L3404_00737	CDS	complement(797909..799243)	tRNA modification GTPase TrmE
ctrn:L3404_00738	CDS	799511..800416	phosphatidylserine decarboxylase
ctrn:L3404_00739	CDS	800481..801806	putative O-linked N-acetylglucosamine transferase, SPINDLY family
ctrn:L3404_00740	CDS	802065..804974	preprotein translocase subunit SecA
ctrn:L3404_00741	CDS	complement(805068..805595)	hypothetical protein
ctrn:L3404_00742	CDS	complement(805672..807144)	GTP-binding protein Der
ctrn:L3404_00743	CDS	complement(807260..808492)	tRNA CCA-pyrophosphorylase
ctrn:L3404_00744	CDS	complement(808507..809766)	ATP-dependent protease ATP-binding subunit ClpX
ctrn:L3404_00745	CDS	complement(809776..810387)	ATP-dependent Clp protease proteolytic subunit
ctrn:L3404_00746	CDS	complement(810554..811882)	trigger factor
ctrn:L3404_00747	tRNA	complement(811919..811990)	tRNA-Gly
ctrn:L3404_00748	CDS	812241..815732	ATP-dependent helicase HepA
ctrn:L3404_00749	CDS	815737..816837	rod shape-determining protein MreB
ctrn:L3404_00750	CDS	816834..818633	phosphoenolpyruvate carboxykinase
ctrn:L3404_00751	CDS	818745..821048	hypothetical protein
ctrn:L3404_00752	CDS	821075..822247	hypothetical protein
ctrn:L3404_00753	CDS	complement(822313..823335)	Chlamydia major outer membrane protein
ctrn:L3404_00754	CDS	complement(823469..824473)	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
ctrn:L3404_00755	CDS	complement(824470..825837)	UTP--glucose-1-phosphate uridylyltransferase
ctrn:L3404_00756	CDS	complement(825849..826214)	hypothetical protein
ctrn:L3404_00757	CDS	complement(826207..827511)	type III secretion system ATPase
ctrn:L3404_00758	CDS	complement(827585..828097)	hypothetical protein
ctrn:L3404_00759	CDS	complement(828114..829112)	type III secretion system protein
ctrn:L3404_00760	CDS	complement(829392..830174)	Fe-S cluster assembly protein NifU
ctrn:L3404_00761	CDS	complement(830171..831325)	cysteine desulfurase
ctrn:L3404_00762	CDS	complement(831280..831960)	phosphoglyceromutase
ctrn:L3404_00763	CDS	832255..832980	23S rRNA pseudouridine synthase F
ctrn:L3404_00764	CDS	833099..833623	hypothetical protein
ctrn:L3404_00765	CDS	833650..834204	biotin--protein ligase
ctrn:L3404_00766	CDS	complement(834211..835350)	cell wall shape-determining protein
ctrn:L3404_00767	CDS	complement(835442..837421)	zinc/cadmium/mercury/lead-transporting ATPase
ctrn:L3404_00768	CDS	complement(837445..838191)	VIT family protein
ctrn:L3404_00769	CDS	complement(838228..839514)	seryl-tRNA synthetase
ctrn:L3404_00770	CDS	839556..840683	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
ctrn:L3404_00771	CDS	840793..842067	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein
ctrn:L3404_00772	CDS	842036..842509	6,7-dimethyl-8-ribityllumazine synthase
ctrn:L3404_00773	CDS	complement(842560..843906)	hypothetical protein
ctrn:L3404_00774	CDS	844291..844956	hypothetical protein
ctrn:L3404_00775	CDS	845061..846428	Na+/alanine symporter
ctrn:L3404_00776	CDS	846486..846938	putative kinase inhibitor protein
ctrn:L3404_00777	CDS	complement(846947..847606)	putative restriction endonuclease
ctrn:L3404_00778	CDS	complement(847603..848391)	ribonuclease Z
ctrn:L3404_00779	CDS	complement(848395..850794)	DNA translocase FtsK
ctrn:L3404_00780	tRNA	complement(850973..851047)	tRNA-His
ctrn:L3404_00781	rRNA	851582..853122	16S ribosomal RNA
ctrn:L3404_00782	rRNA	853378..856312	23S ribosomal RNA
ctrn:L3404_00783	rRNA	856434..856547	5S ribosomal RNA
ctrn:L3404_00784	CDS	complement(857065..858360)	Na(+)-translocating NADH-quinone reductase subunit F
ctrn:L3404_00785	CDS	complement(858503..858847)	preprotein translocase subunit YajC
ctrn:L3404_00786	CDS	complement(858952..860142)	23S rRNA methyluridine methyltransferase
ctrn:L3404_00787	CDS	complement(860330..860707)	Histone H1-like protein Hc1
ctrn:L3404_00788	CDS	861091..863571	hypothetical protein
ctrn:L3404_00789	CDS	complement(863563..864837)	protoporphyrinogen oxidase
ctrn:L3404_00790	CDS	complement(864834..866207)	coproporphyrinogen III oxidase
ctrn:L3404_00791	CDS	complement(866180..867184)	uroporphyrinogen decarboxylase
ctrn:L3404_00792	CDS	complement(867203..870442)	transcription-repair coupling factor
ctrn:L3404_00793	CDS	complement(870418..873192)	alanyl-tRNA synthetase
ctrn:L3404_00794	rRNA	873626..875166	16S ribosomal RNA
ctrn:L3404_00795	rRNA	875422..878356	23S ribosomal RNA
ctrn:L3404_00796	rRNA	878478..878591	5S ribosomal RNA
ctrn:L3404_00797	CDS	878870..880870	transketolase
ctrn:L3404_00798	CDS	complement(880867..881736)	AMP nucleosidase
ctrn:L3404_00799	CDS	881956..882528	elongation factor P
ctrn:L3404_00800	CDS	complement(882544..882768)	hypothetical protein
ctrn:L3404_00801	CDS	complement(882815..883687)	cyclic 3',5'-adenosine monophosphate phosphodiesterase
ctrn:L3404_00802	CDS	complement(883768..885306)	chaperonin GroEL
ctrn:L3404_00803	tRNA	complement(885384..885454)	tRNA-Cys
ctrn:L3404_00804	CDS	885754..887106	putative bifunctional UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase/UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
ctrn:L3404_00805	CDS	887252..888262	phospho-N-acetylmuramoyl-pentapeptide-transferase
ctrn:L3404_00806	CDS	888274..889524	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
ctrn:L3404_00807	CDS	889521..890258	membrane-bound lytic murein transglycosylase D
ctrn:L3404_00808	CDS	890274..891431	cell wall shape-determining protein
ctrn:L3404_00809	CDS	891370..892398	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
ctrn:L3404_00810	CDS	892406..894814	bifunctional D-alanyl-alanine synthetase A/UDP-N-acetylmuramate--L-alanine ligase
ctrn:L3404_00811	CDS	complement(894851..895270)	hypothetical protein
ctrn:L3404_00812	CDS	complement(895428..896234)	hypothetical protein
ctrn:L3404_00813	CDS	896388..896720	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
ctrn:L3404_00814	CDS	896724..897743	tRNA delta(2)-isopentenylpyrophosphate transferase
ctrn:L3404_00815	CDS	complement(897748..898800)	hypothetical protein
ctrn:L3404_00816	CDS	898890..900572	hypothetical protein
ctrn:L3404_00817	CDS	901026..901385	ribosome-associated protein
ctrn:L3404_00818	CDS	901396..902652	3-oxoacyl-(acyl carrier protein) synthase II
ctrn:L3404_00819	CDS	902649..903101	adenosine nucleotide hydrolase NudE
ctrn:L3404_00820	CDS	complement(903182..903811)	inorganic pyrophosphatase
ctrn:L3404_00821	CDS	904059..905099	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
ctrn:L3404_00822	CDS	complement(905065..906093)	adenosine-3'(2'),5'-bisphosphate nucleotidase
ctrn:L3404_00823	CDS	906391..907152	2-acyl-glycerophospho-ethanolamine acyltransferase
ctrn:L3404_00824	CDS	907160..908773	long chain fatty acid--[acyl-carrier-protein] ligase
ctrn:L3404_00825	CDS	908816..909949	8-amino-7-oxononanoate synthase
ctrn:L3404_00826	CDS	complement(909868..912129)	primosome assembly protein PriA
ctrn:L3404_00827	CDS	complement(912084..912773)	hypothetical protein
ctrn:L3404_00828	CDS	912929..913423	thiol:disulfide interchange protein precursor
ctrn:L3404_00829	CDS	913655..915235	lysyl-tRNA synthetase
ctrn:L3404_00830	CDS	complement(915232..916725)	cysteinyl-tRNA synthetase
ctrn:L3404_00831	CDS	916978..918027	Thioredoxin-related protein
ctrn:L3404_00832	CDS	complement(918105..918467)	ribonuclease P
ctrn:L3404_00833	CDS	919094..919231	50S ribosomal protein L36
ctrn:L3404_00834	CDS	919255..919560	30S ribosomal protein S14
ctrn:L3404_00835	CDS	complement(919594..920094)	hypothetical protein
ctrn:L3404_00836	CDS	complement(920216..920401)	hypothetical protein
ctrn:L3404_00837	CDS	920747..921241	hypothetical protein
ctrn:L3404_00838	CDS	complement(921287..923083)	excinuclease ABC subunit C
ctrn:L3404_00839	CDS	complement(923108..925570)	DNA mismatch repair protein MutS
ctrn:L3404_00840	CDS	925903..927690	DNA primase
ctrn:L3404_00841	CDS	927784..928062	hypothetical protein
ctrn:L3404_00842	CDS	928188..928679	hypothetical protein
ctrn:L3404_00843	CDS	complement(928762..931773)	glycyl-tRNA synthetase
ctrn:L3404_00844	CDS	932287..932835	phosphatidylglycerophosphate synthetase
ctrn:L3404_00845	CDS	complement(932842..934266)	glycogen synthase
ctrn:L3404_00846	tRNA	934494..934567	tRNA-Gln
ctrn:L3404_00847	CDS	934843..935400	50S ribosomal protein L25/general stress protein Ctc
ctrn:L3404_00848	CDS	935408..935947	peptidyl-tRNA hydrolase
ctrn:L3404_00849	CDS	936085..936423	30S ribosomal protein S6
ctrn:L3404_00850	CDS	936440..936685	30S ribosomal protein S18
ctrn:L3404_00851	CDS	936706..937209	50S ribosomal protein L9
ctrn:L3404_00852	CDS	937273..938139	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ctrn:L3404_00853	CDS	complement(938109..938312)	hypothetical protein
ctrn:L3404_00854	CDS	complement(938442..939794)	hypothetical protein
ctrn:L3404_00855	CDS	complement(939973..942843)	protease3
ctrn:L3404_00856	CDS	complement(942895..943896)	Acyltransferase
ctrn:L3404_00857	CDS	complement(943909..945447)	ribonuclease G
ctrn:L3404_00858	CDS	945894..946331	hypothetical protein
ctrn:L3404_00859	CDS	946271..946597	hypothetical protein
ctrn:L3404_00860	CDS	946581..946760	50S ribosomal protein L32
ctrn:L3404_00861	CDS	946782..947747	putative glycerol-3-phosphate acyltransferase PlsX
ctrn:L3404_00862	CDS	947967..952559	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00863	CDS	952760..953554	IncA protein
ctrn:L3404_00864	CDS	complement(953638..953937)	Gas vesicle protein
ctrn:L3404_00865	CDS	complement(953958..954341)	hypothetical protein
ctrn:L3404_00866	CDS	954565..955941	phosphoglucosamine mutase
ctrn:L3404_00867	CDS	955952..957772	glucosamine--fructose-6-phosphate aminotransferase
ctrn:L3404_00868	CDS	957848..959071	tyrosine transporter TyrP
ctrn:L3404_00869	CDS	959115..959243	hypothetical protein
ctrn:L3404_00870	CDS	959260..960447	tyrosine transporter TyrP
ctrn:L3404_00871	CDS	960489..961205	putative membrane protein
ctrn:L3404_00872	CDS	complement(961303..962157)	signal recognition particle-docking protein FtsY
ctrn:L3404_00873	CDS	962227..963387	succinyl-CoA synthetase subunit beta
ctrn:L3404_00874	CDS	963402..964277	succinyl-CoA synthetase subunit alpha
ctrn:L3404_00875	CDS	964419..965909	serine endoprotease
ctrn:L3404_00876	CDS	966110..969034	Peptidase M16C associated
ctrn:L3404_00877	CDS	complement(969048..970331)	DNA recombination protein RmuC
ctrn:L3404_00878	CDS	complement(970335..971126)	CDP-diacylglycerol-serine O-phosphatidyltransferase
ctrn:L3404_00879	CDS	971761..974904	ribonucleotide-diphosphate reductase subunit alpha
ctrn:L3404_00880	CDS	974942..975982	ribonucleotide-diphosphate reductase subunit beta
ctrn:L3404_00881	tRNA	complement(976905..976981)	tRNA-Val
ctrn:L3404_00882	CDS	977035..977616	hypothetical protein
ctrn:L3404_00883	CDS	complement(977613..978488)	UDP-N-acetylenolpyruvoylglucosamine reductase
ctrn:L3404_00884	CDS	complement(978621..979409)	transcription antitermination protein NusB
ctrn:L3404_00885	CDS	979559..980119	translation initiation factor IF-3
ctrn:L3404_00886	CDS	980097..980291	50S ribosomal protein L35
ctrn:L3404_00887	CDS	980310..980681	50S ribosomal protein L20
ctrn:L3404_00888	CDS	980688..981716	phenylalanyl-tRNA synthetase subunit alpha
ctrn:L3404_00889	tRNA	981717..981802	tRNA-Ser
ctrn:L3404_00890	CDS	982027..984003	hypothetical protein
ctrn:L3404_00891	CDS	complement(984000..985100)	putative permeases
ctrn:L3404_00892	CDS	complement(985103..986167)	putative permeases
ctrn:L3404_00893	CDS	986265..987230	tRNA(Ile)-lysidine synthetase
ctrn:L3404_00894	CDS	987391..990132	ATP-dependent metalloprotease
ctrn:L3404_00895	CDS	complement(990347..992434)	polynucleotide phosphorylase/polyadenylase
ctrn:L3404_00896	CDS	complement(992463..992732)	30S ribosomal protein S15
ctrn:L3404_00897	CDS	992919..993449	tRNA-specific adenosine deaminase
ctrn:L3404_00898	CDS	993421..993699	hypothetical protein
ctrn:L3404_00899	CDS	complement(993671..994375)	hypothetical protein
ctrn:L3404_00900	CDS	complement(994510..995028)	hypothetical protein
ctrn:L3404_00901	CDS	complement(995041..995547)	hypothetical protein
ctrn:L3404_00902	CDS	complement(995575..996054)	hypothetical protein
ctrn:L3404_00903	CDS	996371..996559	hypothetical protein
ctrn:L3404_00904	CDS	996578..997795	hypothetical protein
ctrn:L3404_00905	CDS	complement(997752..998627)	methionine aminopeptidase
ctrn:L3404_00906	CDS	complement(998660..999301)	putative antibiotic transporter
ctrn:L3404_00907	CDS	complement(999318..1000004)	putative antibiotic transporter
ctrn:L3404_00908	CDS	complement(1000112..1001881)	taurine transporter subunit
ctrn:L3404_00909	CDS	1001934..1002374	fumarate hydratase
ctrn:L3404_00910	CDS	1002365..1002562	fumarate hydratase
ctrn:L3404_00911	CDS	1002547..1003326	fumarate hydratase
ctrn:L3404_00912	CDS	complement(1003408..1005108)	putative transporter
ctrn:L3404_00913	CDS	1005866..1007131	Na+/H+ antiporter, NhaD family
ctrn:L3404_00914	CDS	1007241..1009046	hypothetical protein
ctrn:L3404_00915	CDS	1009141..1010064	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
ctrn:L3404_00916	CDS	complement(1010116..1011597)	hypothetical protein
ctrn:L3404_00917	CDS	complement(1011609..1013129)	hypothetical protein
ctrn:L3404_00918	CDS	complement(1013157..1013675)	type III secretion system chaperone protein SscB
ctrn:L3404_00919	CDS	complement(1013675..1015123)	hypothetical protein
ctrn:L3404_00920	tRNA	1015491..1015574	tRNA-Leu
ctrn:L3404_00921	CDS	1015682..1015987	hypothetical protein
ctrn:L3404_00922	CDS	complement(1015984..1016946)	site-specific tyrosine recombinase XerD
ctrn:L3404_00923	CDS	1017134..1018123	hypothetical protein
ctrn:L3404_00924	CDS	1018138..1020354	glycogen branching enzyme
ctrn:L3404_00925	CDS	complement(1020365..1021384)	hypothetical protein
ctrn:L3404_00926	CDS	complement(1021607..1022812)	hypothetical protein
ctrn:L3404_00927	CDS	complement(1022989..1025886)	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00928	CDS	complement(1025889..1028987)	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00929	CDS	1029152..1032193	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00930	CDS	1032224..1035241	chlamydial polymorphic outer membrane protein repeat
ctrn:L3404_00931	CDS	1035656..1036252	hypothetical protein
ctrn:L3404_00932	CDS	complement(1036347..1038983)	chlamydial polymorphic outer membrane protein repeat
